layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,roc_auc,pr_auc
32,32,0.8439628482972136,0.8303405572755418,0.8326206475259621,0.8382533825338252,0.8371517027863777,0.6743659784483523,0.9063125305523871,0.9022541946547525
64,32,0.8024767801857585,0.8606811145510835,0.8520710059171598,0.826530612244898,0.8315789473684211,0.6642840616886345,0.9030605105004361,0.8988836352278776
64,64,0.860061919504644,0.7876160990712074,0.8019630484988453,0.829997012249776,0.8238390092879257,0.6493843738956171,0.8895892800659452,0.8832321344004992
128,32,0.8421052631578947,0.8297213622291022,0.8318042813455657,0.8369230769230769,0.8359133126934984,0.6718781473154554,0.9106549473300809,0.9080385458844558
128,64,0.8606811145510835,0.81671826625387,0.8244365361803084,0.842169039684944,0.8386996904024768,0.6780549469737821,0.9089346202877435,0.9060827013062406
128,128,0.8643962848297214,0.8043343653250774,0.8154205607476636,0.8391944694920349,0.8343653250773994,0.6699401243647297,0.9071732691773141,0.9054467495864623
256,32,0.8513931888544891,0.8061919504643963,0.8145734597156398,0.8325764456554647,0.8287925696594427,0.6582579436562261,0.8981426065619339,0.8931671246888105
256,64,0.8613003095975232,0.7938080495356037,0.8068445475638051,0.833183587900569,0.8275541795665635,0.6566055525883975,0.8990152306645323,0.8896872710096705
256,128,0.8786377708978328,0.804953560371517,0.8183391003460208,0.8474171394446104,0.8417956656346749,0.6854546549066278,0.9086823414391013,0.905807924195749
256,256,0.8421052631578947,0.8352941176470589,0.8364083640836408,0.8392471459426103,0.8386996904024768,0.677415094207185,0.9075336675325173,0.8996089582174286
