layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,roc_auc,pr_auc
32,32,0.8863636363636364,0.9318181818181818,0.9285714285714286,0.9069767441860465,0.9090909090909091,0.8190283593479222,0.9333677685950412,0.9561776190946942
32,64,0.8181818181818182,0.75,0.7659574468085106,0.7912087912087913,0.7840909090909091,0.5695071112518933,0.8806818181818181,0.9071012229407378
32,128,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.7272727272727273,0.9059917355371901,0.9238102150570409
32,256,0.8181818181818182,0.7272727272727273,0.75,0.7826086956521738,0.7727272727272727,0.5477225575051661,0.8491735537190084,0.8682340337981456
64,32,0.8636363636363636,0.7954545454545454,0.8085106382978723,0.8351648351648351,0.8295454545454546,0.6606282490521962,0.9173553719008265,0.9351217554079779
64,64,0.7727272727272727,0.8636363636363636,0.85,0.8095238095238095,0.8181818181818182,0.6390096504226938,0.9034090909090909,0.9197767259438654
64,128,0.7272727272727273,0.9772727272727273,0.9696969696969697,0.8311688311688312,0.8522727272727273,0.7276514165601813,0.9194214876033058,0.9393468276991728
64,256,0.8181818181818182,0.7954545454545454,0.8,0.8089887640449439,0.8068181818181818,0.6137949055234262,0.9121900826446281,0.9273584098932707
128,32,0.8636363636363636,0.8863636363636364,0.8837209302325582,0.8735632183908046,0.875,0.7501937734175209,0.940599173553719,0.9536915921041691
128,64,0.7727272727272727,0.8636363636363636,0.85,0.8095238095238095,0.8181818181818182,0.6390096504226938,0.9168388429752066,0.9255968246545665
128,128,0.8863636363636364,0.7954545454545454,0.8125,0.8478260869565218,0.8409090909090909,0.6846531968814576,0.9023760330578513,0.9237494890022048
128,256,0.8636363636363636,0.8409090909090909,0.8444444444444444,0.853932584269663,0.8522727272727273,0.7047274841194893,0.9276859504132231,0.9486677709971589
256,32,0.8636363636363636,0.75,0.7755102040816326,0.8172043010752688,0.8068181818181818,0.6176371646767647,0.9070247933884298,0.9148387607549858
256,64,0.8863636363636364,0.8409090909090909,0.8478260869565217,0.8666666666666666,0.8636363636363636,0.7280252083092641,0.9390495867768596,0.9450995902688875
256,128,0.8409090909090909,0.8636363636363636,0.8604651162790697,0.8505747126436781,0.8522727272727273,0.7047274841194893,0.9178719008264463,0.9377688925410494
256,256,0.8181818181818182,0.9090909090909091,0.9,0.8571428571428572,0.8636363636363636,0.7302967433402214,0.9292355371900827,0.9435486059978755
