layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
16,32,0.8705882352941177,0.8111455108359134,0.8217416715371128,0.8454600120264582,0.8408668730650155,0.68294137918471,0.9063918948710332,0.8950446748503373
16,64,0.8705882352941177,0.8006191950464396,0.8136574074074074,0.8411606341609332,0.8356037151702786,0.6728564916545656,0.9071483480144542,0.8973018373318729
16,128,0.8773993808049536,0.8024767801857585,0.8162442396313364,0.8457176962100865,0.839938080495356,0.6817924394875953,0.911126149009384,0.9075842575826342
16,256,0.8724458204334365,0.7969040247678019,0.8111686816350029,0.8406921241050119,0.8346749226006192,0.6712679017432865,0.9061169952745641,0.8987788952261982
32,32,0.8792569659442725,0.7752321981424148,0.7964105440269209,0.8357857563272513,0.8272445820433436,0.6580593287966123,0.8992165169799384,0.8908945709113193
32,64,0.8891640866873065,0.804953560371517,0.8201027984009137,0.8532382650029708,0.8470588235294118,0.6965919519648185,0.9143398288107814,0.9091044627628236
32,128,0.8606811145510835,0.8179566563467492,0.8254156769596199,0.8426795998787511,0.8393188854489164,0.6792580058295208,0.9121199283037317,0.9088444202601512
32,256,0.8693498452012384,0.8402476780185758,0.8447653429602888,0.8568812938663412,0.8547987616099071,0.7098982061194736,0.9213702805547833,0.9217510506692361
64,32,0.8631578947368421,0.7826625386996904,0.7988538681948424,0.8297619047619047,0.8229102167182663,0.6479229539423765,0.9050062782160282,0.9008404833128678
64,64,0.8699690402476781,0.804953560371517,0.8168604651162791,0.8425787106446776,0.8374613003095975,0.6763535920109771,0.9099153638969031,0.9058850787772246
64,128,0.8904024767801858,0.8080495356037152,0.8226544622425629,0.855188819506393,0.8492260061919504,0.7008325812171987,0.9160083965148712,0.914483993337652
64,256,0.8730650154798761,0.8414860681114551,0.8463385354141657,0.8594940566900336,0.8572755417956657,0.7149076361460138,0.9248063338093914,0.9237445731974088
