layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
16,32,0.8636,0.8636,0.8636,0.8636,0.8636,0.7273,0.9561,0.955
16,64,0.8864,0.8636,0.8667,0.8764,0.875,0.7502,0.9112,0.8926
16,128,0.8182,0.9091,0.9,0.8571,0.8636,0.7303,0.921,0.9322
16,256,0.8864,0.9545,0.9512,0.9176,0.9205,0.8429,0.9571,0.9684
32,32,0.8409,0.8636,0.8605,0.8506,0.8523,0.7047,0.9179,0.9123
32,64,0.9318,0.9545,0.9535,0.9425,0.9432,0.8866,0.9861,0.9855
32,128,0.9318,0.9091,0.9111,0.9213,0.9205,0.8411,0.9731,0.9746
32,256,0.8864,0.9318,0.9286,0.907,0.9091,0.819,0.938,0.9358
64,32,0.9091,0.9091,0.9091,0.9091,0.9091,0.8182,0.9737,0.9743
64,64,0.8636,0.8636,0.8636,0.8636,0.8636,0.7273,0.9535,0.9603
64,128,0.8409,0.8182,0.8222,0.8315,0.8295,0.6593,0.9096,0.9245
64,256,0.9091,0.9545,0.9524,0.9302,0.9318,0.8645,0.9783,0.9829
