lncRNA_id,identifier,gene_name,gene_id
l21A,21A,21A,
l42064,42064,42064,NONHSAG039251;NONHSAG004356
l42065,42065,42065,NONHSAG004354
l42066,42066,42066,NONHSAG041453
l42069,42069,42069,NONHSAG039874
l42070,42070,42070,NONHSAG029643
l42248,42248,42248,NONHSAG019093
l42250,42250,42250,NONHSAG034037
l42251,42251,42251,NONHSAG022336
l42252,42252,42252,NONHSAG033278
l42254,42254,42254,NONHSAG047339
l42256,42256,42256,NONHSAG022853
l42258,42258,42258,NONHSAG038264
l42261,42261,42261,NONHSAG047638
l42339,42339,42339,NONHSAG053283
l7SK,7SK,7SK,NONHSAG040596
l91H,91H,91H,NONMMUG012710
lA1BG-AS1,A1BG-AS1,A1BG-AS1,NONHSAG026719
lA2LD1,A2LD1,A2LD1,
lA2M,A2M,A2M,NONHSAG010432
lA2ML1,A2ML1,A2ML1,NONHSAG010424
lA4GALT,A4GALT,A4GALT,NONHSAG034065
lAACS,AACS,AACS,NONHSAG012661
lAAED1,AAED1,AAED1,NONHSAG052965
lAAGAB,AAGAB,AAGAB,NONHSAG017241
lAAK1,AAK1,AAK1,NONHSAG028081
lAAMDC,AAMDC,AAMDC,NONHSAG009165
lAARD,AARD,AARD,NONHSAG051093
lAARS,AARS,AARS,NONHSAG019857;NONHSAG019856
lAARS2,AARS2,AARS2,NONHSAG043852
lAARSD1,AARSD1,AARSD1,NONHSAG021868
lAASDH,AASDH,AASDH,NONHSAG037995
lAASDHPPT,AASDHPPT,AASDHPPT,NONHSAG009521
lAATF,AATF,AATF,NONHSAG021621
lAATK,AATK,AATK,NONHSAG022979
lABAT,ABAT,ABAT,NONHSAG018516
lABC12-49244600F4.3,ABC12-49244600F4.3,ABC12-49244600F4.3,
lABCA10,ABCA10,ABCA10,NONHSAG022618;NONHSAG022616
lABCA2,ABCA2,ABCA2,NONHSAG053832
lABCA3,ABCA3,ABCA3,NONHSAG018327
lABCA5,ABCA5,ABCA5,NONHSAG022621;NONHSAG022620;NONHSAG022619
lABCA6,ABCA6,ABCA6,NONHSAG022615;NONHSAG022612
lABCA7,ABCA7,ABCA7,NONHSAG024333;NONHSAG024335
lABCA8,ABCA8,ABCA8,NONHSAG022606
lABCA9,ABCA9,ABCA9,NONHSAG022609
lABCB8,ABCB8,ABCB8,NONHSAG049151
lABCC10,ABCC10,ABCC10,NONHSAG043820;NONHSAG043818
lABCC12,ABCC12,ABCC12,NONHSAG019369;NONHSAG019367
lABCC2,ABCC2,ABCC2,NONHSAG006667
lABCC3,ABCC3,ABCC3,NONHSAG022197;NONHSAG022196
lABCC4,ABCC4,ABCC4,NONHSAG013980;NONHSAG013981
lABCC6,ABCC6,ABCC6,NONHSAG018716
lABCC8,ABCC8,ABCC8,NONHSAG007771;NONHSAG007769
lABCD3,ABCD3,ABCD3,NONHSAG002124
lABCD4,ABCD4,ABCD4,NONHSAG015455
lABCE1,ABCE1,ABCE1,NONHSAG039023
lABCF2,ABCF2,ABCF2,NONHSAG049165
lABCF3,ABCF3,ABCF3,NONHSAG036840
lABHD1,ABHD1,ABHD1,NONHSAG027304
