protein,uniprot_id
HEXIM1,O94992
Tat,P17735
CDK9,P50750
hLARP7,Q4G0J3
HMGA1,P17096
SRP19,P09132
SRP54,P20424
APOBEC3F,Q8IUX4
EWSR1,Q01844
PolII,-
PRC2,-
pollII,-
SSB,E7ERC4
PABPC1,H0YB86
SRP14,P37108
SRP9,Q9VSC1
FMR1,-
PNUTS,Q96QC0
SNIP1,Q8TAD8
SRP9/14 heterodimer,-
EIF4A1,P60842
PABP,-
TARDBP,A0A087WZM1
TCF7L2,B5BU30
PRC1,G3UXT4
CBX7,O95931
SUZ12,Q15022
EIF4G1,Q04637
EIF3B,P55884
EIF4B,P23588
PTB,Q9UKA9
NR3C1,-
IGF2BP1,L8ECD2
ISM1,B1AKI9
HNRNPU,Q00839
EZH2,Q15910
PCBP1,Q15365
KDM1A,O60341
REST,-
CoREST,Q8VIG1
Wdr5,P61964
Mll1,Q03164
TERT,O14746
DKC1,O60832
STAU1,O95793
hnRNPC,P07910
RPL22,Q9BYF5
TEP1,Q5XKB2
HNRNPA1,Q6IPF2
PINX1,Q96BK5
Ro60,P10155
NCL,B3KM80
hnRNPI,-
HNRNPK,P61979
IFN-伪,
ELAV1,Q15717
HIF-1ä¼ª,-
VHL,P40337
PSF,P23246
1TMW_A,-
AAF22034.1,P02768
ANXA2,P07355
SR140,O15042
DBHS,Q15233
FLOT1,NM_005803
SATB2,NM_001172509
CXCL12,-
VEGFA,P15692
WNT5A,P41221
NRXN1,F5GYC7
TDP-43,-
MMP2,P08253
PKR,P19525
SMARCA4,P51532
SMARCA2,P51531
Proteins of the Dros,-
PSPC1,-
PSP-1,Q8WXF1
FUS,P35637
LRRK2,Q5S007
E2F7,Q96AV8
Rpp20,O75817
RPP29,O95707
RPP38,P78345
hPop1,Q99575
Rpp25,Q9BUL9
RPP21,Q9H633
ELAVL1,P70372
SF1,A0A024R5D9
RUNX1,-
SNF5,Q12824
Staufen1,-
GTF2I,P78347
RBM8A,Q9Y5S9
YWHAZ,P63104
ACIN1,Q9UKV3
ALDR,P15121
AN32A,P39687
ANP32B,Q92688
PRMT1,Q99873
ANX11,P50995
ASSY,P00966
BCLAF1,Q9NYF8
BRE1A,Q5VTR2
RNF40,O75150
CD11B,P21127
CLIC1,O00299
CN166,Q9Y224
CFL1,P23528
CPSF5,O43809
CRNL1,Q9BZJ0
C19orf43,Q9BQ61
CSNK2A1,P68400
CTBL1,Q8WYA6
DAZP1,Q96EP5
DDX5,-
DNJC8,O75937
DNJC9,Q8WXX5
POLD1,P28340
DPOD2,P49005
ADAR,P55265
DX39A,O00148
DX39B,Q13838
DYL1,P63167
ECM29,Q5VYK3
FA50A,Q14320
FIP1,Q6UN15
FDPS,P14324
FUBP2,Q92945
GNB2L1,P63244
GEMI5,Q8TEQ6
GPATCH8,Q9UKJ3
GUAA,P49915
HNRDL,O14979
HNRH1,P31943
HNRH2,P55795
HNRH3,P31942
HNRNPUL1,Q9BUJ2
HNRNPUL2,Q1KMD3
HNRLL,Q8WVV9
HNRNPD,Q14103
HNRNPF,P52597
HNRPG,P38159
hnRNPL,P14866
hnRNPM,P52272
SYNCRIP,O60506
HNRNPR,O43390
HSP74,P34932
IDHC,O75874
IF2B1,Q9NZI8
IGF2BP3,O00425
eIF4AIII,P38919
IF4H,Q15056
EIF5A,P63241
K1967,-
KAD1,P00568
KHDR1,Q07666
KI67,P46013
SSB,P05455
LAP2A,P42166
LC7L2,Q9Y383
LC7L3,O95232
LEG3,P17931
LKHA4,P09960
MARE1,Q15691
RNMT,O43148
MAT2A,P31153
MGN,P61326
MINT,Q96T58
MRE11,-
MRT4,Q9UKD2
EMG1,Q92979
NOG1,Q9BZE4
NPM1,P06748
NCL,P19338
PABPC1,P11940
PABPN1,Q86U42
SERBP1,Q8NC51
