lncRNA_id,identifier,gene_name,gene_id
l0610008F07Rik,0610008F07Rik,0610008F07Rik,
l0610009B14Rik,0610009B14Rik,0610009B14Rik,
l0610025J13Rik,0610025J13Rik,0610025J13Rik,
l0610038F07Rik,0610038F07Rik,0610038F07Rik,
l0610038L08Rik,0610038L08Rik,0610038L08Rik,
l0610038P03Rik,0610038P03Rik,0610038P03Rik,
l0610040B09Rik,0610040B09Rik,0610040B09Rik,
l0910001A06Rik,0910001A06Rik,0910001A06Rik,
l1010001B22Rik,1010001B22Rik,1010001B22Rik,
l1110002J07Rik,1110002J07Rik,1110002J07Rik,
l1110008F13Rik,1110008F13Rik,1110008F13Rik,NONMMUG025281
l1110008J03Rik,1110008J03Rik,1110008J03Rik,NONMMUG033647;NONMMUG033645
l1110008P14Rik,1110008P14Rik,1110008P14Rik,NONMMUG022589
l1110017D15Rik,1110017D15Rik,1110017D15Rik,NONMMUG028966
l1110019D14Rik,1110019D14Rik,1110019D14Rik,
l1110020A21Rik,1110020A21Rik,1110020A21Rik,
l1110020P15Rik,1110020P15Rik,1110020P15Rik,
l1110028F11Rik,1110028F11Rik,1110028F11Rik,
l1110032A03Rik,1110032A03Rik,1110032A03Rik,NONMMUG042761
l1110035M17Rik,1110035M17Rik,1110035M17Rik,
l1110050K14Rik,1110050K14Rik,1110050K14Rik,
l1110058L19Rik,1110058L19Rik,1110058L19Rik,NONMMUG000256
l1110059E24Rik,1110059E24Rik,1110059E24Rik,NONMMUG020984
l1110065P20Rik,1110065P20Rik,1110065P20Rik,NONMMUG030583
l1190002F15Rik,1190002F15Rik,1190002F15Rik,NONMMUG036778
l1200002N14Rik,1200002N14Rik,1200002N14Rik,
l1300002E11Rik,1300002E11Rik,1300002E11Rik,
l1300002K09Rik,1300002K09Rik,1300002K09Rik,NONMMUG029136
l1300015D01Rik,1300015D01Rik,1300015D01Rik,
l1500001A10Rik,1500001A10Rik,1500001A10Rik,
l1500002F19Rik,1500002F19Rik,1500002F19Rik,
l1500002O10Rik,1500002O10Rik,1500002O10Rik,
l1500011K16Rik,1500011K16Rik,1500011K16Rik,
l1500012F01Rik,1500012F01Rik,1500012F01Rik,NONMMUG025548
l1500012K07Rik,1500012K07Rik,1500012K07Rik,
l1500016L03Rik,1500016L03Rik,1500016L03Rik,
l1500026H17Rik,1500026H17Rik,1500026H17Rik,
l1520401A03Rik,1520401A03Rik,1520401A03Rik,NONMMUG017698
l1600002H07Rik,1600002H07Rik,1600002H07Rik,NONMMUG017719
l1600010F14Rik,1600010F14Rik,1600010F14Rik,
l1600020E01Rik,1600020E01Rik,1600020E01Rik,
l1600025M17Rik,1600025M17Rik,1600025M17Rik,
l1700001C19Rik,1700001C19Rik,1700001C19Rik,NONMMUG018462
l1700001J04Rik,1700001J04Rik,1700001J04Rik,
l1700001O22Rik,1700001O22Rik,1700001O22Rik,NONMMUG022525
l1700003F12Rik,1700003F12Rik,1700003F12Rik,NONMMUG025178
l1700003F17Rik,1700003F17Rik,1700003F17Rik,
l1700006D18Rik,1700006D18Rik,1700006D18Rik,
l1700006P19Rik,1700006P19Rik,1700006P19Rik,
l1700007K13Rik,1700007K13Rik,1700007K13Rik,NONMMUG022424
l1700007L15Rik,1700007L15Rik,1700007L15Rik,
l1700007M16Rik,1700007M16Rik,1700007M16Rik,
l1700008O03Rik,1700008O03Rik,1700008O03Rik,NONMMUG037906
l1700009P17Rik,1700009P17Rik,1700009P17Rik,NONMMUG002415
l1700011J10Rik,1700011J10Rik,1700011J10Rik,
l1700012C08Rik,1700012C08Rik,1700012C08Rik,
l1700012G19Rik,1700012G19Rik,1700012G19Rik,
l1700013F07Rik,1700013F07Rik,1700013F07Rik,NONMMUG027652
l1700013G23Rik,1700013G23Rik,1700013G23Rik,
l1700015O11Rik,1700015O11Rik,1700015O11Rik,
l1700016G14Rik,1700016G14Rik,1700016G14Rik,NONMMUG010522
l1700019B21Rik,1700019B21Rik,1700019B21Rik,
l1700019E08Rik,1700019E08Rik,1700019E08Rik,
l1700019G24Rik,1700019G24Rik,1700019G24Rik,NONMMUG034528
l1700021F05Rik,1700021F05Rik,1700021F05Rik,NONMMUG003522
l1700021K19Rik,1700021K19Rik,1700021K19Rik,NONMMUG016287
l1700021L23Rik,1700021L23Rik,1700021L23Rik,
l1700022A21Rik,1700022A21Rik,1700022A21Rik,
l1700022K14Rik,1700022K14Rik,1700022K14Rik,
l1700022N22Rik,1700022N22Rik,1700022N22Rik,
l1700023I07Rik,1700023I07Rik,1700023I07Rik,
l1700024P03Rik,1700024P03Rik,1700024P03Rik,
l1700025G04Rik,1700025G04Rik,1700025G04Rik,NONMMUG002036
l1700025O08Rik,1700025O08Rik,1700025O08Rik,
l1700026J12Rik,1700026J12Rik,1700026J12Rik,
l1700026J14Rik,1700026J14Rik,1700026J14Rik,
l1700027A07Rik,1700027A07Rik,1700027A07Rik,
l1700028E10Rik,1700028E10Rik,1700028E10Rik,
l1700028K03Rik,1700028K03Rik,1700028K03Rik,NONMMUG033255
l1700028P15Rik,1700028P15Rik,1700028P15Rik,
l1700029M20Rik,1700029M20Rik,1700029M20Rik,
l1700030C12Rik,1700030C12Rik,1700030C12Rik,
l1700030G06Rik,1700030G06Rik,1700030G06Rik,
l1700030K09Rik,1700030K09Rik,1700030K09Rik,NONMMUG040928
l1700034P13Rik,1700034P13Rik,1700034P13Rik,
l1700037C18Rik,1700037C18Rik,1700037C18Rik,NONMMUG015606
l1700037H04Rik,1700037H04Rik,1700037H04Rik,NONMMUG024713
l1700040D17Rik,1700040D17Rik,1700040D17Rik,
l1700040E09Rik,1700040E09Rik,1700040E09Rik,
l1700040N02Rik,1700040N02Rik,1700040N02Rik,
l1700045I19Rik,1700045I19Rik,1700045I19Rik,
l1700046C09Rik,1700046C09Rik,1700046C09Rik,
l1700049G17Rik,1700049G17Rik,1700049G17Rik,NONMMUG037548
l1700057G04Rik,1700057G04Rik,1700057G04Rik,NONMMUG043596
l1700058G18Rik,1700058G18Rik,1700058G18Rik,
l1700060C16Rik,1700060C16Rik,1700060C16Rik,
l1700061E18Rik,1700061E18Rik,1700061E18Rik,
l1700061F12Rik,1700061F12Rik,1700061F12Rik,
l1700061H18Rik,1700061H18Rik,1700061H18Rik,
l1700064E03Rik,1700064E03Rik,1700064E03Rik,
l1700066J03Rik,1700066J03Rik,1700066J03Rik,
l1700066J24Rik,1700066J24Rik,1700066J24Rik,
l1700066O22Rik,1700066O22Rik,1700066O22Rik,
l1700069L16Rik,1700069L16Rik,1700069L16Rik,NONMMUG033446
l1700081H22Rik,1700081H22Rik,1700081H22Rik,
l1700085B03Rik,1700085B03Rik,1700085B03Rik,
l1700085D07Rik,1700085D07Rik,1700085D07Rik,
l1700086O06Rik,1700086O06Rik,1700086O06Rik,
l1700091E21Rik,1700091E21Rik,1700091E21Rik,
l1700092C02Rik,1700092C02Rik,1700092C02Rik,
l1700092C10Rik,1700092C10Rik,1700092C10Rik,
l1700092C17Rik,1700092C17Rik,1700092C17Rik,
l1700092E19Rik,1700092E19Rik,1700092E19Rik,
l1700094C10Rik,1700094C10Rik,1700094C10Rik,
l1700099I09Rik,1700099I09Rik,1700099I09Rik,
l1700102J08Rik,1700102J08Rik,1700102J08Rik,
l1700104A03Rik,1700104A03Rik,1700104A03Rik,
l1700109F18Rik,1700109F18Rik,1700109F18Rik,
l1700109K24Rik,1700109K24Rik,1700109K24Rik,
l1700112D23Rik,1700112D23Rik,1700112D23Rik,NONMMUG026246
l1700112E06Rik,1700112E06Rik,1700112E06Rik,NONMMUG012375
l1700112J16Rik,1700112J16Rik,1700112J16Rik,
l1700112M01Rik,1700112M01Rik,1700112M01Rik,
l1700113A16Rik,1700113A16Rik,1700113A16Rik,
l1700121F15Rik,1700121F15Rik,1700121F15Rik,
l1700122E12Rik,1700122E12Rik,1700122E12Rik,
l1700125G22Rik,1700125G22Rik,1700125G22Rik,
l1700128E19Rik,1700128E19Rik,1700128E19Rik,
l1810009N23Rik,1810009N23Rik,1810009N23Rik,
l1810010H24Rik,1810010H24Rik,1810010H24Rik,
l1810010K12Rik,1810010K12Rik,1810010K12Rik,
l1810014B01Rik,1810014B01Rik,1810014B01Rik,
l1810015C04Rik,1810015C04Rik,1810015C04Rik,
l1810019D21Rik,1810019D21Rik,1810019D21Rik,
l1810019N24Rik,1810019N24Rik,1810019N24Rik,
l1810020O05Rik,1810020O05Rik,1810020O05Rik,
l1810024B03Rik,1810024B03Rik,1810024B03Rik,NONMMUG024552
l1810032O08Rik,1810032O08Rik,1810032O08Rik,NONMMUG008158
l1810034E14Rik,1810034E14Rik,1810034E14Rik,
l1810035I16Rik,1810035I16Rik,1810035I16Rik,
l1810043G02Rik,1810043G02Rik,1810043G02Rik,NONMMUG004061
l1810058N05Rik,1810058N05Rik,1810058N05Rik,
l1810063I02Rik,1810063I02Rik,1810063I02Rik,
l2010003O02Rik,2010003O02Rik,2010003O02Rik,NONMMUG028920
l2010012P19Rik,2010012P19Rik,2010012P19Rik,NONMMUG006558
