lncRNA_id,protein,edge_weight
l0610008F07Rik,PABP1,1
l0610008F07Rik,Pou5f1,1
l0610008F07Rik,RFOX2,1
l0610008F07Rik,TTP,1
l0610008F07Rik,TYY1,1
l0610009B14Rik,RFOX2,1
l0610025J13Rik,RFOX2,1
l0610038F07Rik,Mbnl1,1
l0610038L08Rik,Elavl1,1
l0610038L08Rik,KPYM,1
l0610038L08Rik,PABP1,1
l0610038L08Rik,RFOX2,1
l0610038L08Rik,SFPQ,1
l0610038L08Rik,TIA1,1
l0610038P03Rik,SFPQ,1
l0610040B09Rik,PABP1,1
l0610040B09Rik,RBM10,1
l0610040B09Rik,RFOX2,1
l0910001A06Rik,Mbnl1,1
l1010001B22Rik,QKI,1
l1110002J07Rik,TYY1,1
l1110008F13Rik,Celf1,1
l1110008F13Rik,Fus,2
l1110008F13Rik,PABPC1,1
l1110008F13Rik,Tdp43,1
l1110008F13Rik,Upf1,1
l1110008J03Rik,FMRP,1
l1110008J03Rik,Fus,2
l1110008J03Rik,PABPC1,1
l1110008J03Rik,Tdp43,1
l1110008J03Rik,Upf1,1
l1110008P14Rik,Celf1,1
l1110008P14Rik,FMRP,1
l1110008P14Rik,Fus,2
l1110008P14Rik,PABPC1,1
l1110008P14Rik,Tdp43,1
l1110008P14Rik,Upf1,1
l1110017D15Rik,Fus,1
l1110017D15Rik,Mbnl3,1
l1110019D14Rik,AGO1,1
l1110019D14Rik,AGO2,1
l1110019D14Rik,AGO4,1
l1110019D14Rik,DAZL,1
l1110019D14Rik,FMR1,1
l1110019D14Rik,KPYM,1
l1110019D14Rik,PABP1,1
l1110019D14Rik,Pou5f1,1
l1110019D14Rik,Ptbp2,1
l1110019D14Rik,RFOX2,1
l1110019D14Rik,SFPQ,1
l1110019D14Rik,TTP,1
l1110019D14Rik,TYY1,1
l1110019D14Rik,VIGLN,1
l1110020A21Rik,DAZL,1
l1110020A21Rik,RFOX2,1
l1110020A21Rik,SFPQ,1
l1110020P15Rik,Mbnl1,1
l1110028F11Rik,RFOX2,1
l1110032A03Rik,Celf1,2
l1110032A03Rik,FMRP,1
l1110032A03Rik,Fus,2
l1110032A03Rik,Mbnl1,1
l1110032A03Rik,Tdp43,1
l1110032A03Rik,Upf1,1
l1110035M17Rik,AGO1,1
l1110035M17Rik,AGO2,1
l1110035M17Rik,AGO4,1
l1110035M17Rik,PABP1,1
l1110035M17Rik,Pou5f1,1
l1110035M17Rik,RFOX2,1
l1110050K14Rik,AGO2,1
l1110050K14Rik,FMR1,1
l1110050K14Rik,Pou5f1,1
l1110050K14Rik,RFOX2,1
l1110050K14Rik,TIA1,1
l1110058L19Rik,Fus,1
l1110058L19Rik,Tdp43,1
l1110059E24Rik,Celf1,1
l1110059E24Rik,Ezh2,1
l1110059E24Rik,Fus,2
l1110059E24Rik,Tdp43,1
l1110059E24Rik,Upf1,1
l1110065P20Rik,Fus,2
l1110065P20Rik,Tdp43,1
l1110065P20Rik,Upf1,1
l1190002F15Rik,Ezh2,1
l1190002F15Rik,Fus,1
l1190002F15Rik,Mbnl3,1
l1190002F15Rik,PABPC1,1
l1190002F15Rik,Tdp43,1
l1190002F15Rik,Upf1,1
l1200002N14Rik,Mbnl1,1
l1300002E11Rik,-,1
l1300002E11Rik,PABP1,1
l1300002E11Rik,Pou5f1,1
l1300002E11Rik,QKI,1
l1300002E11Rik,RBM10,1
l1300002E11Rik,RFOX2,1
l1300002E11Rik,SFPQ,1
l1300002E11Rik,TIA1,1
l1300002K09Rik,Tdp43,1
l1300002K09Rik,Upf1,1
l1300015D01Rik,Elavl1,1
l1300015D01Rik,Pou5f1,1
l1300015D01Rik,RFOX2,1
l1300015D01Rik,TYY1,1
l1300015D01Rik,VIGLN,1
l1500001A10Rik,Mbnl3,1
l1500002F19Rik,PABP1,1
l1500002F19Rik,PSPC1,1
l1500002F19Rik,Pou5f1,1
l1500002F19Rik,RFOX2,1
l1500002F19Rik,SFPQ,1
l1500002F19Rik,TTP,1
l1500002F19Rik,TYY1,1
l1500002O10Rik,PABP1,1
l1500002O10Rik,Pou5f1,1
l1500002O10Rik,Ptbp2,1
l1500002O10Rik,RFOX2,1
l1500002O10Rik,TTP,1
l1500002O10Rik,TYY1,1
l1500011K16Rik,PABP1,1
l1500011K16Rik,RFOX2,1
l1500011K16Rik,SFPQ,1
l1500012F01Rik,Celf1,1
l1500012F01Rik,Fus,2
l1500012F01Rik,JARID2,1
l1500012F01Rik,Mbnl1,1
l1500012F01Rik,PABPC1,1
l1500012F01Rik,Rbfox3,1
l1500012F01Rik,Upf1,1
l1500012K07Rik,Pou5f1,1
l1500012K07Rik,TIA1,1
l1500012K07Rik,TYY1,1
l1500016L03Rik,Pou5f1,1
l1500016L03Rik,SFPQ,1
l1500026H17Rik,FMR1,1
l1500026H17Rik,PABP1,1
l1500026H17Rik,RFOX2,1
l1500026H17Rik,VIGLN,1
l1520401A03Rik,Upf1,1
l1600002H07Rik,FMRP,1
l1600002H07Rik,Fus,1
l1600002H07Rik,Upf1,1
l1600010F14Rik,-,1
l1600010F14Rik,AGO2,1
l1600010F14Rik,KPYM,1
l1600010F14Rik,Pou5f1,1
l1600010F14Rik,RFOX2,1
l1600010F14Rik,TTP,1
l1600010F14Rik,VIGLN,1
l1600020E01Rik,AGO1,1
l1600020E01Rik,AGO2,1
l1600020E01Rik,AGO4,1
l1600020E01Rik,DAZL,1
l1600020E01Rik,Elavl1,1
l1600020E01Rik,FMR1,1
l1600020E01Rik,KPYM,1
l1600020E01Rik,PABP1,1
l1600020E01Rik,Ptbp2,1
l1600020E01Rik,QKI,1
l1600020E01Rik,RFOX2,1
l1600020E01Rik,SFPQ,1
