protein,uniprot_id
Tdp43,Q921F2
Srsf3,P84103
SFPQ,Q8VIJ6
Upf1,Q92900
AGO2,Q8CJG0
Fus,P35637
JARID2,Q92833
Mbnl1,Q9NR56
Ezh2,Q15910
TIA1,P52912
TYY1,Q00899
Ago2,Q8CJG0
Igf2bp3,Q9CPN8
LIN28A,Q8K3Y3
FMRP,NM_020772
DAZL,Q64368
Nova1,Q9JKN6
PABPC1,H0YB86
Celf1,P28659
m6A,P35802
AGO1,Q8CJG1
Ptbp2,Q91Z31
RFOX2,Q8BP71
Trim71,Q1PSW8
Tardbp,A0A087WZM1
YTHDC2,B2RR83
Nova,Q9JKN6
LIN28B,Q45KJ6
-,TAF15
SRSF4,Q08170
hnRNP H,O35737
Rnps1,Q99M28
-,D3YVV7
Srsf1,Q6PDM2
TTP,P22893
FMRP,P35922
Pum2,Q80U58
Elav1,P70372
Sfpq,Q8VIJ6
Rbfox3,Q8BIF2
Srrm4,Q8BKA3
Elavl1,P70372
Dazl,Q64368
PABP1,P29341
PUM2,Q80U58
AID,Q9WVE0
IDH1,O88844
Ythdf1,P59326
QKI,Q9QYS9
SOX2,P48432
Pou5f1,P20263
VIGLN,Q8VDJ3
AGO4,Q8CJF8
FMR1,P35922
SUZ12,Q80U70
CELF6,Q7TN33
Mbnl3,Q8R003
KPYM,P52480
Mbnl2,Q5VZF2
CSDE1,Q91W50
coREST,Q8VIG1
PSPC1,Q8R326
MOV10,P22626
CBX3,Q13185
TET2,Q4JK59
Cpsf6,Q16630
Srsf11,Q8C0Z3
LIN28,-
Smchd1,Q6P5D8
FOSL2,P47930
p300,B2RWS6
Mettl3,Q8K3Y3
Coilin,P38432
SUV39H1,A2AC19
Sin3A,Q96ST3
hnRNPL,Q8R081
RBM10,Q99KG3
PKR,P19525
PTBP3,Q8BHD7
DDX18,Q8K363
ALKBH1,P0CB42
DDX5,Q61656
Mybbp1a,Q7TPV4
NF-κB p65,Q548Y4
MSI2H,Q920Q6
NPM1,Q61937
hnRNPF,Q9Z2X1
NLRP3,Q8R4B8
Adenomatous polyposis coli (APC),-
MBD1,Q9Z2E2
PRC2,-
CBX1,P83916
SF3b,Q99NB9
EED,Q921E6
RANBP9,P69566
HuR,ENSMUSG00000040028
Tip60,Q8CHK4
Igf2bp2,Q5SF07
QK-6,Q9QYS9
Poldip3,Q8BG81
EZH2,Q61188
EZH2,Q6AXH7
Spen,Q62504
RING1B,Q9CQJ4
70kDa,Q62376
ESET,O88974
Hnrnpa1,P09651
Srsf9,Q13242
PINK1,Q99MQ3
Srrt,Q9BXP5
YY1,H0YJU4
CBX7,Q8VDS3
Sfpq,P23246
CTCF,NM_001191022
Ciz1,Q9ULV3
Myef2,Q8C854
SETD8,Q9NQR1
Hnrnpd,H0YA96
Sltm,Q8CH25
Bim,Q6PEB3;Q542N5
Lin28a,Q8K3Y3
Ddx5,-
SmN,P63163
hnRNP-K,P61979
MeCP2,P51608
G9a,Q9Z148
TEP1,Q5XKB2
Purb,Q96QR8
HDAC1,O09106
JARID1C,Q8CGG4
FUS,P56959
Mterf1,B9EJ57
PolII,-
Khsrp,Q3U0V1
Tdp43,Q8BUM1;Q921F2
Ssa2,O08848
GR,E9PUR6;E9PYV1
Beclin-1,O88597
YB-1,Q3UBT1
Erh,P84089
JARID1B,Q8VCQ4
Hnrnpul2,Q1KMD3
P110,Q8R1B4
PTBP1,P17225
coREST,Q8C796
SmB,P14678
Sfrs1,J3KTL2
Raly,Q64012
Ddx39b,Q9Z1N5
CNBP,Q5QJQ9
SF1,A0A024R5D9
Mst1,Q9JI11
PARP-1,P11103
P2X7,ENSMUSG00000029468
Hnrnpr,B4DT28
ELAVL1,P70372
Igf2bp3,F8WD15
Hnrnph3,-
Ilf3,Q12906
Hnrnpa0,Q13151
RPB2,B2WTN8
Dnmt1,P26358
Ilf2,Q12905
Ncl,B3KM80
Hnrnpa2b1,O88569
Ddx39a,Q8VDW0
L1td1,Q587J6
Trim6,Q8BGE7
Ptbp1,P17225
Hnrpll,Q921F4
Srsf5,O35326
YAP1,P46938
E-selectin,Q3U5F6
USP17,Q61068
PRC1,G3UXT4
FOXM1,ENSMUSG00000001517
Sp1,O89090
PABP,-
TLR4,ENSMUSG00000039005
Rybp,Q8N488
Hnrnpu,Q00839
Sugt1,Q9CX34
Hmgb1,P09429
Matr3,P43243
Hnrnpl,Q6NTA2
Safb2,Q14151
Hnrpdl,-
Safb,D3YXK2
snrpa,P09012
Srsf10,Q9R0U0
SLBP,Q14493
Hnrnpc,P07910
CIZ1,Q3UUV0;Q8VEH2;A2AN61
Brg1,P51532
TERRA,NM_145831
SF3a,Q8K4Z5
TERT,O14746
Sap18,O00422
Ptbp1,-
FMRP,Q7Z417
Eif4a3,Q91VC3
p190RhoGEF,P97433
RPB1,P08775
Angpt1,O08538
Ep300,B2RWS6
Xrn2,Q9DBR1
MLL1,Q03164
Rbfox2,B0QYV1
Khdrbs1,Q60749
PTBP1,Q922I7;Q8CB58
Thoc4,O08583
β-catenin,Q02248
Rbm3,O89086
MeCP2,NM_001110792
Ythdc1,E9Q5K9
IQGAP,Q9JKF1
WDR5,P61964
Nono,Q15233
Ssb,E7ERC4
rela,Q04207
Rnu3ip2,Q91WM3
NF-L,NM_010910
Rbmxl1,Q91VM5
KDM5A,Q3UXZ9
