protein,protein_id
MAP2K4,pMAP2K4
MYPN,pMYPN
ACVR1,pACVR1
GATA2,pGATA2
RPA2,pRPA2
ARF1,pARF1
ARF3,pARF3
XRN1,pXRN1
APP,pAPP
APLP1,pAPLP1
CITED2,pCITED2
EP300,pEP300
APOB,pAPOB
ARRB2,pARRB2
CSF1R,pCSF1R
PRRC2A,pPRRC2A
LSM1,pLSM1
SLC4A1,pSLC4A1
BCL3,pBCL3
ADRB1,pADRB1
BRCA1,pBRCA1
ARVCF,pARVCF
PCBD1,pPCBD1
PSEN2,pPSEN2
CAPN3,pCAPN3
ITPR1,pITPR1
MAGI1,pMAGI1
RB1,pRB1
TSG101,pTSG101
ORC1,pORC1
ORC4,pORC4
MCM5,pMCM5
CDC7,pCDC7
ORC2,pORC2
DBF4,pDBF4
AKAP8,pAKAP8
RPA1,pRPA1
RPA3,pRPA3
ORC5,pORC5
MCM3,pMCM3
YWHAZ,pYWHAZ
DOCK8,pDOCK8
TRIP10,pTRIP10
CDKN3,pCDKN3
RBBP8,pRBBP8
HAND2,pHAND2
CLTC,pCLTC
IGFBP3,pIGFBP3
TXN,pTXN
ATF2,pATF2
CCND3,pCCND3
RALBP1,pRALBP1
PPIB,pPPIB
CSK,pCSK
DCN,pDCN
SIM2,pSIM2
SIM1,pSIM1
NPAS4,pNPAS4
HBEGF,pHBEGF
PCNA,pPCNA
TOPBP1,pTOPBP1
FLNA,pFLNA
LSM3,pLSM3
LSM4,pLSM4
LSM5,pLSM5
CREBBP,pCREBBP
NUMA1,pNUMA1
EXOSC4,pEXOSC4
PLCG1,pPLCG1
KTN1,pKTN1
KDR,pKDR
PPARGC1B,pPPARGC1B
SMARCA4,pSMARCA4
DDX54,pDDX54
ESR1,pESR1
FGFR1,pFGFR1
TGFB1,pTGFB1
SUMO1,pSUMO1
MPP6,pMPP6
GABRG2,pGABRG2
SFN,pSFN
TGFB1I1,pTGFB1I1
NR3C1,pNR3C1
GCK,pGCK
HSPA5,pHSPA5
SLC2A2,pSLC2A2
SLC2A4,pSLC2A4
GRIK2,pGRIK2
GRIK1,pGRIK1
CCNT1,pCCNT1
RGS19,pRGS19
HSF2,pHSF2
LIMK1,pLIMK1
FGF7,pFGF7
C1QBP,pC1QBP
EIF3E,pEIF3E
HNRNPA1,pHNRNPA1
HNRNPM,pHNRNPM
UBAP2L,pUBAP2L
IMMT,pIMMT
IFT88,pIFT88
HTT,pHTT
HAP1,pHAP1
HYPK,pHYPK
MEF2D,pMEF2D
TCF3,pTCF3
IGF1R,pIGF1R
YWHAE,pYWHAE
SOCS1,pSOCS1
PTK2,pPTK2
MAPK8,pMAPK8
INSR,pINSR
IL1A,pIL1A
JAK2,pJAK2
BYSL,pBYSL
KRT18,pKRT18
LMNA,pLMNA
MLLT4,pMLLT4
BNIPL,pBNIPL
BNIP2,pBNIP2
SMN1,pSMN1
TP53BP2,pTP53BP2
RTN4,pRTN4
BCL2,pBCL2
NFKB1,pNFKB1
SKAP1,pSKAP1
ALOX5,pALOX5
VAV1,pVAV1
NCF4,pNCF4
XRCC5,pXRCC5
MRE11A,pMRE11A
PIAS4,pPIAS4
MITF,pMITF
DHDDS,pDHDDS
YBX1,pYBX1
ATRNL1,pATRNL1
ATF7IP,pATF7IP
CHAF1A,pCHAF1A
ANP32A,pANP32A
MAP1B,pMAP1B
MCM7,pMCM7
NOV,pNOV
KMT2A,pKMT2A
NEB,pNEB
NGFR,pNGFR
LSM7,pLSM7
SNCAIP,pSNCAIP
EPB41L1,pEPB41L1
MAP3K8,pMAP3K8
RELA,pRELA
NOP2,pNOP2
ETS1,pETS1
AKT2,pAKT2
ETS2,pETS2
SHANK2,pSHANK2
CTTN,pCTTN
SNW1,pSNW1
NRAS,pNRAS
GLMN,pGLMN
KDM5B,pKDM5B
REL,pREL
FLT1,pFLT1
OPRD1,pOPRD1
MYO1C,pMYO1C
PDE6D,pPDE6D
RAP1GDS1,pRAP1GDS1
PAX5,pPAX5
KALRN,pKALRN
NRBF2,pNRBF2
PIK3R3,pPIK3R3
APOA1,pAPOA1
LSM8,pLSM8
