Node_i,Node_j,edge_weight
l0610008F07Rik,pPABP1,1
l0610008F07Rik,pPou5f1,1
l0610008F07Rik,pRFOX2,1
l0610008F07Rik,pTTP,1
l0610008F07Rik,pTYY1,1
l0610009B14Rik,pRFOX2,1
l0610025J13Rik,pRFOX2,1
l0610038F07Rik,pMbnl1,1
l0610038L08Rik,pElavl1,1
l0610038L08Rik,pKPYM,1
l0610038L08Rik,pPABP1,1
l0610038L08Rik,pRFOX2,1
l0610038L08Rik,pSFPQ,1
l0610038L08Rik,pTIA1,1
l0610038P03Rik,pSFPQ,1
l0610040B09Rik,pPABP1,1
l0610040B09Rik,pRBM10,1
l0610040B09Rik,pRFOX2,1
l0910001A06Rik,pMbnl1,1
l1010001B22Rik,pQKI,1
l1110002J07Rik,pTYY1,1
l1110008F13Rik,pCelf1,1
l1110008F13Rik,pFus,2
l1110008F13Rik,pPABPC1,1
l1110008F13Rik,pTdp43,1
l1110008F13Rik,pUpf1,1
l1110008J03Rik,pFMRP,1
l1110008J03Rik,pFus,2
l1110008J03Rik,pPABPC1,1
l1110008J03Rik,pTdp43,1
l1110008J03Rik,pUpf1,1
l1110008P14Rik,pCelf1,1
l1110008P14Rik,pFMRP,1
l1110008P14Rik,pFus,2
l1110008P14Rik,pPABPC1,1
l1110008P14Rik,pTdp43,1
l1110008P14Rik,pUpf1,1
l1110017D15Rik,pFus,1
l1110017D15Rik,pMbnl3,1
l1110019D14Rik,pAGO1,1
l1110019D14Rik,pAGO2,1
l1110019D14Rik,pAGO4,1
l1110019D14Rik,pDAZL,1
l1110019D14Rik,pFMR1,1
l1110019D14Rik,pKPYM,1
l1110019D14Rik,pPABP1,1
l1110019D14Rik,pPou5f1,1
l1110019D14Rik,pPtbp2,1
l1110019D14Rik,pRFOX2,1
l1110019D14Rik,pSFPQ,1
l1110019D14Rik,pTTP,1
l1110019D14Rik,pTYY1,1
l1110019D14Rik,pVIGLN,1
l1110020A21Rik,pDAZL,1
l1110020A21Rik,pRFOX2,1
l1110020A21Rik,pSFPQ,1
l1110020P15Rik,pMbnl1,1
l1110028F11Rik,pRFOX2,1
l1110032A03Rik,pCelf1,2
l1110032A03Rik,pFMRP,1
l1110032A03Rik,pFus,2
l1110032A03Rik,pMbnl1,1
l1110032A03Rik,pTdp43,1
l1110032A03Rik,pUpf1,1
l1110035M17Rik,pAGO1,1
l1110035M17Rik,pAGO2,1
l1110035M17Rik,pAGO4,1
l1110035M17Rik,pPABP1,1
l1110035M17Rik,pPou5f1,1
l1110035M17Rik,pRFOX2,1
l1110050K14Rik,pAGO2,1
l1110050K14Rik,pFMR1,1
l1110050K14Rik,pPou5f1,1
l1110050K14Rik,pRFOX2,1
l1110050K14Rik,pTIA1,1
l1110058L19Rik,pFus,1
l1110058L19Rik,pTdp43,1
l1110059E24Rik,pCelf1,1
l1110059E24Rik,pEzh2,1
l1110059E24Rik,pFus,2
l1110059E24Rik,pTdp43,1
l1110059E24Rik,pUpf1,1
l1110065P20Rik,pFus,2
l1110065P20Rik,pTdp43,1
l1110065P20Rik,pUpf1,1
l1190002F15Rik,pEzh2,1
l1190002F15Rik,pFus,1
l1190002F15Rik,pMbnl3,1
l1190002F15Rik,pPABPC1,1
l1190002F15Rik,pTdp43,1
l1190002F15Rik,pUpf1,1
l1200002N14Rik,pMbnl1,1
l1300002E11Rik,p-,1
l1300002E11Rik,pPABP1,1
