Node_i,Node_j,edge_weight
l0610008F07Rik,pPabpc1,1
l0610008F07Rik,pPou5f1,1
l0610008F07Rik,pRbfox2,1
l0610008F07Rik,pZfp36,1
l0610008F07Rik,pYy1,1
l0610009B14Rik,pRbfox2,1
l0610025J13Rik,pRbfox2,1
l0610038F07Rik,pMbnl1,1
l0610038L08Rik,pElavl1,1
l0610038L08Rik,pPkm,1
l0610038L08Rik,pPabpc1,1
l0610038L08Rik,pRbfox2,1
l0610038L08Rik,pSfpq,1
l0610038L08Rik,pTia1,1
l0610038P03Rik,pSfpq,1
l0610040B09Rik,pPabpc1,1
l0610040B09Rik,pRbm10,1
l0610040B09Rik,pRbfox2,1
l0910001A06Rik,pMbnl1,1
l1010001B22Rik,pQki,1
l1110002J07Rik,pYy1,1
l1110008F13Rik,pCelf1,1
l1110008F13Rik,pFus,2
l1110008F13Rik,pPabpc1,1
l1110008F13Rik,pTardbp,1
l1110008F13Rik,pUpf1,1
l1110008J03Rik,pFmr1,1
l1110008J03Rik,pFus,2
l1110008J03Rik,pPabpc1,1
l1110008J03Rik,pTardbp,1
l1110008J03Rik,pUpf1,1
l1110008P14Rik,pCelf1,1
l1110008P14Rik,pFmr1,1
l1110008P14Rik,pFus,2
l1110008P14Rik,pPabpc1,1
l1110008P14Rik,pTardbp,1
l1110008P14Rik,pUpf1,1
l1110017D15Rik,pFus,1
l1110017D15Rik,pMbnl3,1
l1110019D14Rik,pAgo1,1
l1110019D14Rik,pAgo2,1
l1110019D14Rik,pAgo4,1
l1110019D14Rik,pDazl,1
l1110019D14Rik,pFmr1,1
l1110019D14Rik,pPkm,1
l1110019D14Rik,pPabpc1,1
l1110019D14Rik,pPou5f1,1
l1110019D14Rik,pPtbp2,1
l1110019D14Rik,pRbfox2,1
l1110019D14Rik,pSfpq,1
l1110019D14Rik,pZfp36,1
l1110019D14Rik,pYy1,1
l1110019D14Rik,pHdlbp,1
l1110020A21Rik,pDazl,1
l1110020A21Rik,pRbfox2,1
l1110020A21Rik,pSfpq,1
l1110020P15Rik,pMbnl1,1
l1110028F11Rik,pRbfox2,1
l1110032A03Rik,pCelf1,2
l1110032A03Rik,pFmr1,1
l1110032A03Rik,pFus,2
l1110032A03Rik,pMbnl1,1
l1110032A03Rik,pTardbp,1
l1110032A03Rik,pUpf1,1
l1110035M17Rik,pAgo1,1
l1110035M17Rik,pAgo2,1
l1110035M17Rik,pAgo4,1
l1110035M17Rik,pPabpc1,1
l1110035M17Rik,pPou5f1,1
l1110035M17Rik,pRbfox2,1
l1110050K14Rik,pAgo2,1
l1110050K14Rik,pFmr1,1
l1110050K14Rik,pPou5f1,1
l1110050K14Rik,pRbfox2,1
l1110050K14Rik,pTia1,1
l1110058L19Rik,pFus,1
l1110058L19Rik,pTardbp,1
l1110059E24Rik,pCelf1,1
l1110059E24Rik,pEzh2,1
l1110059E24Rik,pFus,2
l1110059E24Rik,pTardbp,1
l1110059E24Rik,pUpf1,1
l1110065P20Rik,pFus,2
l1110065P20Rik,pTardbp,1
l1110065P20Rik,pUpf1,1
l1190002F15Rik,pEzh2,1
l1190002F15Rik,pFus,1
l1190002F15Rik,pMbnl3,1
l1190002F15Rik,pPabpc1,1
l1190002F15Rik,pTardbp,1
l1190002F15Rik,pUpf1,1
l1200002N14Rik,pMbnl1,1
l1300002E11Rik,p-,1
l1300002E11Rik,pPabpc1,1
l1300002E11Rik,pPou5f1,1
l1300002E11Rik,pQki,1
l1300002E11Rik,pRbm10,1
l1300002E11Rik,pRbfox2,1
l1300002E11Rik,pSfpq,1
l1300002E11Rik,pTia1,1
l1300002K09Rik,pTardbp,1
l1300002K09Rik,pUpf1,1
l1300015D01Rik,pElavl1,1
l1300015D01Rik,pPou5f1,1
l1300015D01Rik,pRbfox2,1
l1300015D01Rik,pYy1,1
l1300015D01Rik,pHdlbp,1
l1500001A10Rik,pMbnl3,1
l1500002F19Rik,pPabpc1,1
l1500002F19Rik,pPspc1,1
l1500002F19Rik,pPou5f1,1
l1500002F19Rik,pRbfox2,1
l1500002F19Rik,pSfpq,1
l1500002F19Rik,pZfp36,1
l1500002F19Rik,pYy1,1
l1500002O10Rik,pPabpc1,1
l1500002O10Rik,pPou5f1,1
l1500002O10Rik,pPtbp2,1
l1500002O10Rik,pRbfox2,1
l1500002O10Rik,pZfp36,1
l1500002O10Rik,pYy1,1
l1500011K16Rik,pPabpc1,1
l1500011K16Rik,pRbfox2,1
l1500011K16Rik,pSfpq,1
l1500012F01Rik,pCelf1,1
l1500012F01Rik,pFus,2
l1500012F01Rik,pJarid2,1
l1500012F01Rik,pMbnl1,1
l1500012F01Rik,pPabpc1,1
l1500012F01Rik,pRbfox3,1
l1500012F01Rik,pUpf1,1
l1500012K07Rik,pPou5f1,1
l1500012K07Rik,pTia1,1
l1500012K07Rik,pYy1,1
l1500016L03Rik,pPou5f1,1
l1500016L03Rik,pSfpq,1
l1500026H17Rik,pFmr1,1
l1500026H17Rik,pPabpc1,1
l1500026H17Rik,pRbfox2,1
l1500026H17Rik,pHdlbp,1
