protein,protein_id
Ptpra,pPtpra
Ppp2r1a,pPpp2r1a
Pcna,pPcna
Trappc5,pTrappc5
Trappc2,pTrappc2
Trappc3,pTrappc3
Trappc4,pTrappc4
Msl1,pMsl1
Kat8,pKat8
Rassf1,pRassf1
Pknox1,pPknox1
Zeb1,pZeb1
Anapc2,pAnapc2
Tceb1,pTceb1
Ptprf,pPtprf
Grb2,pGrb2
Pik3r1,pPik3r1
Acp1,pAcp1
Apc,pApc
Bcl2,pBcl2
Dnajb3,pDnajb3
Clock,pClock
Arntl,pArntl
Per1,pPer1
Per2,pPer2
Cry1,pCry1
Cry2,pCry2
Prpf40a,pPrpf40a
Sufu,pSufu
Lgals3,pLgals3
Ncoa3,pNcoa3
Rnf19a,pRnf19a
Zfp219,pZfp219
Pias1,pPias1
Sap18,pSap18
Mc4r,pMc4r
Tyrobp,pTyrobp
Grik4,pGrik4
Hcn2,pHcn2
Gmcl1,pGmcl1
Fgd1,pFgd1
Naa10,pNaa10
Scyl1,pScyl1
Gorab,pGorab
Mllt3,pMllt3
Ror1,pRor1
Ror2,pRor2
Hsph1,pHsph1
Tuba1a,pTuba1a
Baz2a,pBaz2a
Hdac1,pHdac1
Rb1,pRb1
Rela,pRela
Nfkb1,pNfkb1
Jun,pJun
Fos,pFos
Smarcd1,pSmarcd1
Tle1,pTle1
Smarce1,pSmarce1
Smarca4,pSmarca4
Arid1b,pArid1b
Smarca5,pSmarca5
Baz1b,pBaz1b
Baz1a,pBaz1a
Ikzf3,pIkzf3
Ikzf1,pIkzf1
Myod1,pMyod1
Rxra,pRxra
Nsd1,pNsd1
Kat2b,pKat2b
Kat2a,pKat2a
Bloc1s4,pBloc1s4
Bloc1s6,pBloc1s6
Supt5,pSupt5
Scmh1,pScmh1
Phc1,pPhc1
Mras,pMras
Hes6,pHes6
Stk11,pStk11
Cd14,pCd14
Lrp8,pLrp8
Ldlr,pLdlr
Vldlr,pVldlr
Vcl,pVcl
Raver1,pRaver1
Rpgrip1,pRpgrip1
Rpgr,pRpgr
Grap2,pGrap2
Ubqln2,pUbqln2
Pgm5,pPgm5
Cbl,pCbl
Sall1,pSall1
Tead2,pTead2
Tead3,pTead3
Tead4,pTead4
Tead1,pTead1
Hdac6,pHdac6
Mlf1,pMlf1
Abcd1,pAbcd1
Abcd2,pAbcd2
Blnk,pBlnk
Lcp2,pLcp2
Klrk1,pKlrk1
Tsc1,pTsc1
Ctnnb1,pCtnnb1
Arhgap32,pArhgap32
Dlg4,pDlg4
Camk2a,pCamk2a
Nr1i3,pNr1i3
Fabp1,pFabp1
Hspa5,pHspa5
Inadl,pInadl
Atf4,pAtf4
