Protein A,Protein B
Ptpra,Ppp2r1a
Ppp2r1a,Ptpra
Pcna,Rev1
Pcna,Rev1
Trappc5,Trappc3
Trappc2,Trappc3
Trappc2,Trappc5
Trappc3,Trappc1
Trappc3,Trappc1
Trappc4,Trappc1
Msl1,Ttc4
Msl1,Pih1d1
Msl1,Kat8
Kat8,Msl1
Kat8,Nelfcd
Rassf1,Rnf10
Pknox1,Pbx2
Pknox1,Actb
Pknox1,Mybbp1a
Pknox1,Myh9
Pknox1,Pbx1
Pknox1,Rps3a1
Zeb1,Ctbp1
Zeb1,Ctbp2
Anapc2,Invs
Anapc2,Invs
Tceb1,Socs1
Ptprf,Ctnnb1
Grb2,Cbl
Pik3r1,Cbl
Zeb1,Ctbp2
Acp1,Ctnnb1
Apc,Mapre2
Apc,Muc1
Grb2,Pik3r1
Grb2,Pik3r1
Bcl2,Ptk2
Dnajb3,Usp8
Dnajb3,Usp8
Clock,Per1
Clock,Per2
Clock,Per3
Clock,Cry1
Clock,Cry2
Arntl,Clock
Arntl,Per1
Arntl,Per2
Arntl,Per3
Arntl,Cry1
Arntl,Cry2
Per1,Clock
Per1,Per2
Per1,Per3
Per1,Cry1
Per1,Cry2
Per2,Clock
Per2,Per1
Per2,Per3
Per2,Cry1
Per2,Cry2
Cry1,Clock
Cry1,Per1
Cry1,Per2
Cry1,Per3
Cry1,Cry2
Cry2,Clock
Cry2,Per1
Cry2,Per2
Cry2,Per3
Cry2,Cry1
Prpf40a,Wasf2
Prpf40a,Wasf3
Prpf40a,Wasl
Prpf40a,Wasf1
Sufu,Hist1h2ai
Sufu,Ncoa3
Sufu,Setdb1
Sufu,Zfp219
Sufu,Lgals3
Sufu,Sap18
Sufu,Pias1
Sufu,Rnf19a
Sufu,Rbpj
Sufu,Prdx5
Lgals3,Sufu
Ncoa3,Rnf19a
Ncoa3,Setdb1
Ncoa3,Zfp219
Ncoa3,Lgals3
Ncoa3,Sap18
Ncoa3,Prdx5
Ncoa3,Pias1
Rnf19a,Sufu
Rnf19a,Pias1
Zfp219,Hist1h2ai
Pias1,Setdb1
Pias1,Zfp219
Pias1,Lgals3
Pias1,Sap18
Pias1,Ncoa3
Sap18,Sufu
Sap18,Hist1h2ai
Sap18,Pias1
Sufu,Lgals3
Mc4r,Atrnl1
Tyrobp,Cd200r1
Grik4,Grik2
Grik4,Grik3
Hcn2,Hcn1
Gmcl1,Tsg101
Gmcl1,Tsg101
Gmcl1,Tsg101
Fgd1,Cttn
Fgd1,Aoc1
Fgd1,Aoc1
Fgd1,Aoc1
Fgd1,Cttn
Naa10,Naa15
Scyl1,Gorab
Scyl1,Gorab
Gorab,Scyl1
Mllt3,Bcor
Ror1,Maged1
Ror2,Maged1
Hsph1,Tuba1a
Hsph1,Tuba1a
Tuba1a,Hsph1
Baz2a,Smarca5
Baz2a,Smarca5
Hdac1,Rb1
Rb1,Hdac1
Hdac1,Myod1
Hdac1,Rela
Hdac1,Nfkb1
Rela,Hdac1
Nfkb1,Hdac1
Jun,Smarca2
Jun,Smarcb1
Fos,Smarca2
Fos,Smarcb1
Smarcd1,Smarca2
Tle1,Foxg1
Smarce1,Esr1
Rb1,Smarca4
Smarca4,Arid1b
Arid1b,Smarcd1
Arid1b,Smarca4
Smarca5,Baz1b
Smarca5,Baz1a
Baz1b,Smarca5
Baz1a,Smarca5
Baz1a,Smarca1
Ikzf3,Chd3
Ikzf1,Chd3
Myod1,Kat2b
Myod1,Hdac1
Rxra,Nsd1
Nsd1,Rxra
Rxra,Nsd1
Ikzf1,Chd3
Ikzf1,Smarca4
Ikzf1,Smarca2
Ikzf1,Ikzf3
Ikzf1,Hdac2
Ikzf1,Smarcc1
Ikzf1,Hdac1
Ikzf1,Smarca4
Ikzf1,Chd3
Kat2b,Notch1
Kat2a,Notch1
Bloc1s4,Bloc1s6
Bloc1s6,Bloc1s4
Bloc1s4,Bloc1s5
Supt5,Ppp2r2d
Scmh1,Phc1
Phc1,Scmh1
Mras,Mllt4
Hes6,Hes1
Stk11,Stk11ip
Cd14,Tlr4
Lrp8,Dab1
Ldlr,Dab1
Vldlr,Dab1
Vcl,Raver1
Raver1,Actn4
Raver1,Actn2
Raver1,Ptbp3
Raver1,Vcl
Rpgrip1,Rpgr
Rpgr,Rpgrip1
Grap2,Kit
Ubqln2,Itgb3
Ubqln2,Cd47
Pgm5,Dmd
Pgm5,Utrn
Cbl,Lck
Sall1,Hdac2
Sall1,Hdac1
Tead2,Yap1
Tead3,Yap1
Tead4,Yap1
Tead1,Yap1
Tead2,Mpdz
Tead2,Yap1
Hdac6,Plaa
Mlf1,Nrbp1
Mlf1,Ywhaz
Mlf1,Nrbp1
Mlf1,Ywhaz
Abcd1,Abcd3
Abcd2,Abcd1
Blnk,Map4k1
Lcp2,Map4k1
Klrk1,H60a
Tsc1,Rdx
Tsc1,Rdx
Tsc1,Ezr
Ctnnb1,Arhgap32
Ctnnb1,Arhgap32
Ctnnb1,Arhgap32
Arhgap32,Ctnnb1
Arhgap32,Dlg4
Arhgap32,Cdh2
Arhgap32,Grin2b
Dlg4,Arhgap32
Arhgap32,Cdc42
Arhgap32,Rac1
Camk2a,Arhgap32
Nr1i3,Nr0b2
Fabp1,Ppara
Hspa5,Dnajc1
Inadl,Grin2a
Inadl,Kcnj10
Inadl,Kcnj15
Inadl,Grin2b
Inadl,Grin2c
Inadl,Grin2d
Dlg4,Grin2a
Dlg4,Grin2b
Dlg4,Grin2c
Dlg4,Grin2d
Dlg4,Grin1
Inadl,Kcnj10
Inadl,Kcnj15
Inadl,Grin2a
Inadl,Grin2b
Inadl,Grin2c
Inadl,Grin2d
Atf4,Dapk3
Tsnax,Tsn
Tsnax,Golga3
Tsnax,Tsnaxip1
Tsnax,Sun1
Tsnax,Akap9
Akap9,Tsnax
Golga3,Tsnax
Tsnaxip1,Tsnax
Sun1,Tsnax
Hspa1b,Hsp90ab1
Wdr12,Notch1
Six3,Aes
Aes,Six3
Aes,Six6
Tle4,Six3
Tle4,Six6
Tle4,Six3
Mef2a,Smad2
Plxna1,Nrp1
Plxna1,Nrp2
Npr1,Plxna1
Plxna1,Npr1
Npr1,Sema3a
Slpi,Grn
Tek,Grb2
Tek,Grb7
Tek,Grb14
Tek,Pik3r1
Tek,Grb2
Tek,Grb7
Tek,Grb14
Tek,Ptpn11
Tek,Pik3r1
Tek,Grb2
Tek,Grb7
Tek,Pik3r1
Id3,Myod1
Id3,Id4
Id3,Tcf12
Fus,Srsf10
Fus,Srsf10
Fus,Srsf2
Fus,Srsf2
S100a4,Metap2
S100a4,Metap2
S100a4,Metap2
E2f1,Sp1
Amy1,Akap8
Sgcb,Sgca
Sgcb,Sgcg
Sgcb,Sgcd
Dag1,Sgcd
Bcl2l1,Bcl2l11
Jak2,Kit
Dffa,Dffb
Traf2,Rb1cc1
Raf1,Hras
Pik3r1,Irs1
Tsc1,Msn
Foxo1,Tsc2
Tsc1,Tsc2
Tsc1,Ezr
Zfp36,Ywhab
Pml,Mtor
Eif4e,Eif4g3
Pik3r1,Irs2
Cldn1,Mpdz
Cldn1,Mpdz
Mpdz,F11r
Pcna,Polb
Pcna,Polb
Gmcl1,Tmpo
Ube2i,Fas
App,Kif1a
Ctla4,Ap2m1
Ctla4,Ap2m1
Ctla4,Ap2m1
Fzd8,Gopc
Fzd8,Gopc
Fzd5,Gopc
Fzd8,Gopc
Fzd5,Gopc
Map2k7,Mapk8ip3
Mapk8ip2,Mapk8ip3
Snca,Tuba3a
Snca,Tuba3a
Fos,Jun
Jun,Hhex
Jun,Hoxc8
Jun,Hoxa9
Jun,En1
Hhex,Fos
Hhex,Jun
Ifrd1,Sin3b
Ifrd1,Sin3b
Ifrd1,Hdac1
Ifrd1,Sap30
Card10,Bcl10
Bcl10,Card10
Card10,Malt1
Hira,Hirip3
Hira,Pax3
Hira,Pax7
Hira,H3f3b
Hira,Pax3
Hira,Pax7
Hira,H3f3b
Pax3,Hira
Pax3,Hira
Sh2d1b1,Cd244
Cd244,Sh2d1b1
Ccnd1,Mybl2
Cd19,Pik3r1
Socs1,Trim8
Socs1,Trim8
Trim8,Socs1
Efs,Ptk2
Ptk2,Efs
Ube2l3,Rbck1
Ube2l3,Arih2
Ube2l3,Rnf216
Ube2l3,Arih1
Ube2l3,Arih2
Ube2l3,Rnf19a
Ube2l3,Rbck1
Ube2l3,Rnf144a
Ube2l3,Ubox5
Cd38,Lck
Prkce,Src
Src,Prkce
Nde1,Pafah1b1
Crhr2,Ucn3
Crhr2,Ucn2
Ush1c,Cdh23
Sytl5,Rab27a
Rrad,Tpm2
Shc1,Inpp5d
Shc1,Inpp5d
Pawr,Wt1
Ap2b1,Eps15
Erbb2ip,Pkp4
Stat5b,Stat5a
Stat5a,Cenpj
Cd81,Igsf8
Ncoa3,Ptpn6
Numb,Eps15
Agfg1,Eps15
Lrrc41,Rbx1
Ndn,E2f1
Ndn,E2f1
E2f1,Ndn
Zp2,Acr
Cct5,Tcp1
Cct3,Cct2
Cct7,Tcp1
Cct7,Cct4
Cct6a,Cct2
Cct6a,Cct5
Tal1,Sin3a
Tal1,Hdac1
Sin3a,Hdac1
Tal1,Hdac1
Thbs2,Thbs1
Thbs1,Thbs2
E2f1,Sp1
E2f1,Pura
Pura,E2f1
Hras,Rin1
Rin1,Ywhae
Hras,Raf1
Hras,Rin1
Hras,Ralgds
Ywhae,Rin1
Ywhab,Rin1
Ywhaz,Rin1
Abl1,Rin1
Abl1,Rin1
Abl1,Pxn
Pxn,Abl1
Abl1,Pxn
Ctnnbip1,Ctnnb1
Tgfb1i1,Git1
Tgfb1i1,Git1
Pxn,Git1
Pxn,Arhgef7
Smad1,Smurf1
Zfp128,Smad1
Smad1,Zfp128
Smad1,Zfp128
Smad2,Zfp128
Zfp128,Smad1
Zfp128,Smad2
Igbp1,Ppp2ca
Igbp1,Mid1
Mid1,Igbp1
Igbp1,Ppp2ca
Igbp1,Mid1
Stx7,Stx6
Stx7,Stx4a
Stx7,Vamp8
Stx7,Vamp7
Stx7,Vamp3
Stx7,Stx6
Stx7,Gtf2i
Stx7,Vamp8
Prkci,Frs2
Pak3,Arhgef7
Eda2r,Traf6
Tnfrsf19,Traf6
