protein_a,protein_b,edge_weight
0610007P14Rik,Cfd,1
0610007P14Rik,Fndc5,1
0610010F05Rik,Cdkl5,1
0610010K14Rik,Atxn1,1
0610010K14Rik,Nanog,1
0610010K14Rik,Pou5f1,1
0610037L13Rik,Tmem173,1
1110001J03Rik,Cfd,1
1110001J03Rik,Fndc5,1
1110001J03Rik,Hnrnpd,1
1110004E09Rik,Lyn,1
1110004F10Rik,Aasdhppt,1
1110004F10Rik,Brsk2,1
1110004F10Rik,Cmtr1,1
1110004F10Rik,Cntnap2,1
1110004F10Rik,Ddx24,1
1110004F10Rik,Dmwd,1
1110004F10Rik,Hdac4,1
1110004F10Rik,Mbtps1,1
1110004F10Rik,Rbm5,1
1110004F10Rik,Tmem173,1
1110004F10Rik,Usp7,1
1110007C09Rik,Hnrnpd,1
1110008F13Rik,Tmem173,1
1110008L16Rik,Aldh6a1,1
1110008L16Rik,Atp5k,1
1110008L16Rik,Cars2,1
1110008L16Rik,Clpb,1
1110008L16Rik,Rars2,1
1110008L16Rik,Sars2,1
1110008L16Rik,Trmt10c,1
1110008L16Rik,Tufm,1
1110008P14Rik,Arhgef2,1
1110008P14Rik,Atp6v1d,1
1110012L19Rik,Usp7,1
1110034G24Rik,Fam35a,1
1110034G24Rik,Mad2l2,1
1110037F02Rik,Bcas2,1
1110037F02Rik,Cactin,1
1110037F02Rik,Cdk12,1
1110037F02Rik,Cenpi,1
1110037F02Rik,Cenpk,1
1110037F02Rik,Cenpu,1
1110037F02Rik,Cobll1,1
1110037F02Rik,Cwc22,1
1110037F02Rik,Eed,1
1110037F02Rik,Fmr1,1
1110037F02Rik,Foxp3,1
1110037F02Rik,Htatsf1,1
1110037F02Rik,Kctd13,1
1110037F02Rik,Kif23,1
1110037F02Rik,Mov10,1
1110037F02Rik,Nanog,1
1110037F02Rik,Nup93,1
1110037F02Rik,Prpf4b,1
1110037F02Rik,Rbm25,1
1110037F02Rik,Smu1,1
1110037F02Rik,Snrnp40,1
1110037F02Rik,Snrnp70,1
1110037F02Rik,Snrpc,1
1110037F02Rik,Srsf3,1
1110037F02Rik,Srsf7,1
1110037F02Rik,Thoc2,1
1110037F02Rik,Zfyve1,1
1110057K04Rik,Wdtc1,1
1110058L19Rik,Cox4i1,1
1110059E24Rik,Hnrnpd,1
1200014J11Rik,Foxp3,1
1200014J11Rik,Hmgn3,1
1200014J11Rik,Ippk,1
1200014J11Rik,Mapkapk5,1
1200014J11Rik,Msl3,1
1200014J11Rik,Prr15,1
1600002H07Rik,4930427A07Rik,2
1600002H07Rik,4933427D06Rik,1
1600002H07Rik,9330182L06Rik,1
1600002H07Rik,Actb,1
1600002H07Rik,Actg1,1
1600002H07Rik,Afap1l2,1
1600002H07Rik,Ahnak,1
1600002H07Rik,Alb,1
1600002H07Rik,Alg3,1
1600002H07Rik,Alyref,1
1600002H07Rik,Amz2,1
1600002H07Rik,Anxa2,1
1600002H07Rik,Arfip1,1
1600002H07Rik,Arg1,1
1600002H07Rik,Arhgef12,1
1600002H07Rik,Arhgef5,1
1600002H07Rik,Asap2,1
1600002H07Rik,Asb5,1
1600002H07Rik,Atp4a,1
1600002H07Rik,Atp5a1,1
1600002H07Rik,Atp5b,1
1600002H07Rik,Bag2,1
1600002H07Rik,Bag6,1
1600002H07Rik,Bclaf1,1
1600002H07Rik,Bend6,1
1600002H07Rik,Btbd3,1
1600002H07Rik,Btc,1
1600002H07Rik,Cad,1
1600002H07Rik,Camk2d,1
1600002H07Rik,Ccdc114,1
1600002H07Rik,Chd8,1
1600002H07Rik,Chtf18,1
1600002H07Rik,Cltc,1
1600002H07Rik,Cryab,1
1600002H07Rik,Cstl1,1
1600002H07Rik,Cul5,1
1600002H07Rik,Cwc22,1
1600002H07Rik,Dab2ip,1
1600002H07Rik,Dlgap2,1
1600002H07Rik,Dlk1,1
1600002H07Rik,Dnaja1,1
1600002H07Rik,Dnaja2,1
1600002H07Rik,Dnaja3,1
1600002H07Rik,Dnajb11,1
1600002H07Rik,Dsp,1
1600002H07Rik,Dst,1
1600002H07Rik,Dync1h1,1
1600002H07Rik,Dync1i2,1
1600002H07Rik,Dync1li2,1
1600002H07Rik,Eef1a1,1
1600002H07Rik,Egfr,1
1600002H07Rik,Ephx1,1
1600002H07Rik,Eps15,1
1600002H07Rik,Erh,1
1600002H07Rik,Esco1,1
1600002H07Rik,Ewsr1,1
1600002H07Rik,Flii,1
1600002H07Rik,Fmr1nb,1
1600002H07Rik,Fus,1
1600002H07Rik,Gcn1l1,1
1600002H07Rik,Git1,1
1600002H07Rik,Hadha,1
1600002H07Rik,Hadhb,1
1600002H07Rik,Hdac2,1
1600002H07Rik,Hid1,1
1600002H07Rik,Hip1r,1
1600002H07Rik,Hnrnpf,1
1600002H07Rik,Hnrnpm,1
1600002H07Rik,Hnrnpu,1
1600002H07Rik,Hsd17b4,1
1600002H07Rik,Hsp90aa1,1
1600002H07Rik,Hsp90ab1,1
1600002H07Rik,Hspa1b,1
1600002H07Rik,Hspa5,1
1600002H07Rik,Hspa8,1
1600002H07Rik,Hspa9,1
1600002H07Rik,Hspb1,1
1600002H07Rik,Hspd1,1
1600002H07Rik,Hspe1,1
1600002H07Rik,Ice1,1
1600002H07Rik,Il1rapl1,1
1600002H07Rik,Ipo13,1
1600002H07Rik,Jup,1
1600002H07Rik,Kif11,1
1600002H07Rik,Kif4,1
1600002H07Rik,Kpna4,1
1600002H07Rik,Krt10,1
