lncRNA,score
lNONHSAG008670,0.01127647647712924
lNONHSAG008675,0.0038638818882346113
lNONHSAG000498,0.0002496310790938704
lU2,0.00011285279395335476
lNONHSAG003504,7.853996740996015e-05
lNONHSAG052119,7.362185357818018e-05
lNONHSAG000835,6.616880452351485e-05
lNONHSAG054780,6.383377510351427e-05
lNONHSAG008552,6.242117617463017e-05
lNONHSAG036783,6.068924129683135e-05
lNONHSAG044283,5.8465770828183554e-05
lNONHSAG007409,5.6938977771558167e-05
lPVT1,5.320080953824475e-05
lNONHSAG013515,4.9303985089790886e-05
lNONHSAG036615,4.840052858860451e-05
lNONHSAG050423,4.5768971541089535e-05
lNONHSAG020759,4.465381482338709e-05
lNONHSAG023844,4.413863751008256e-05
lNONHSAG007431,4.135996209157243e-05
lNONHSAG011264,4.072093241175393e-05
lNONHSAG021882,3.96669125413004e-05
lNONHSAG015798,3.9617305641245044e-05
lNONHSAG031696,3.9554857388771235e-05
lNONHSAG014515,3.863833741533238e-05
lNONHSAG028093,3.79144341562779e-05
lNONHSAG041692,3.689647939085701e-05
lNONHSAG053806,3.643693523658526e-05
lNONHSAG000840,3.595749879339833e-05
lNONHSAG031749,3.589289581894407e-05
lNONHSAG016639,3.575336296736644e-05
lNONHSAG054635,3.478853445759232e-05
lNONHSAG055499,3.385505569629849e-05
lNONHSAG012555,3.3281049537654335e-05
lNONHSAG022845,3.306740977061208e-05
lNONHSAG027432,3.2642684305840146e-05
lNONHSAG022655,3.254294206514313e-05
lNONHSAG031102,3.2449106542792466e-05
lNONHSAG041473,3.2329958498297633e-05
lNONHSAG003658,3.217101224546881e-05
lNONHSAG054779,3.2120172964061636e-05
lNONHSAG038728,3.157216449973662e-05
lNONHSAG055008,3.150215643756209e-05
lNONHSAG033611,3.060574180966801e-05
lNONHSAG007898,3.0435516328270625e-05
lNONHSAG013413,3.0369339163747482e-05
lNONHSAG036547,3.0150762429239227e-05
lNONHSAG034508,3.01240660431409e-05
lNONHSAG033691,2.985260263907413e-05
lNONHSAG002086,2.9838744991772463e-05
lNONHSAG048464,2.978509295546692e-05
lNONHSAG009343,2.9416379422486872e-05
lNONHSAG039542,2.9331591181238197e-05
lNONHSAG031557,2.929898113432992e-05
lNONHSAG029956,2.9206357959657448e-05
lNONHSAG022078,2.9108749640399892e-05
lNONHSAG017913,2.898011833188991e-05
lNONHSAG006038,2.842929828592907e-05
lNONHSAG033589,2.7776201014175194e-05
lNONHSAG053417,2.7766953445158638e-05
lNONHSAG014362,2.77518919003363e-05
lNONHSAG009372,2.7674571243185834e-05
lNONHSAG002530,2.7528667233828964e-05
lNONHSAG001765,2.7356451040169684e-05
lNONHSAG037936,2.7311227840603046e-05
lNONHSAG041023,2.7153577071997666e-05
lNONHSAG033590,2.7061958853803574e-05
lNONHSAG051015,2.6896355750849394e-05
lNONHSAG002378,2.6763719794957478e-05
lNONHSAG013524,2.672072596973045e-05
lNONHSAG042288,2.6595198025186156e-05
lNONHSAG042500,2.6544747209797388e-05
lNONHSAG041241,2.6474823108329126e-05
lNONHSAG031415,2.6335974588285597e-05
lNONHSAG034006,2.6208421597446404e-05
lNONHSAG009210,2.615948821905524e-05
lNONHSAG055329,2.6135188856052663e-05
lNONHSAG031079,2.588688480935858e-05
lNONHSAG038927,2.575066440565375e-05
lNONHSAG003938,2.560880418344973e-05
lNONHSAG025906,2.5444496182255326e-05
lNONHSAG005321,2.5431758104635987e-05
lNONHSAG034935,2.5314183394122014e-05
lNONHSAG033480,2.529477211012496e-05
lNONHSAG055315,2.5212041776249427e-05
lNONHSAG017322,2.5016353858995195e-05
lNONHSAG005548,2.497397527624e-05
lNONHSAG043403,2.4940292294422053e-05
lNONHSAG050712,2.478080830379109e-05
lNONHSAG022327,2.474412943682229e-05
lNONHSAG050809,2.4730504641819064e-05
lNONHSAG020869,2.46678781227319e-05
lNONHSAG022510,2.453906244409423e-05
lNONHSAG011599,2.453474649466125e-05
lNONHSAG038551,2.453088184480841e-05
lNONHSAG040958,2.444769810700387e-05
lNONHSAG048073,2.440860484149558e-05
lNONHSAG047507,2.439927837404925e-05
lNONHSAG033142,2.421737006130255e-05
lNONHSAG037940,2.4207206506319695e-05
lNONHSAG001812,2.420550964546218e-05
lNONHSAG021309,2.4012956325245576e-05
lNONHSAG037320,2.394946311109215e-05
lNONHSAG004975,2.3797882659409785e-05
lNONHSAG023185,2.3467204476540684e-05
lNONHSAG031790,2.3425694014099645e-05
lNONHSAG036523,2.3381870671296364e-05
lNONHSAG002460,2.317870181299711e-05
lNONHSAG002731,2.312723945475075e-05
lNONHSAG014904,2.3075019026449045e-05
lNONHSAG013808,2.301710560821125e-05
lNONHSAG000670,2.2983576418437517e-05
lNONHSAG015119,2.278608859287891e-05
lNONHSAG039362,2.274023812574384e-05
lNONHSAG006341,2.269390671030225e-05
lNONHSAG006198,2.2415093409339628e-05
lNONHSAG044875,2.2232700345005045e-05
lNONHSAG045089,2.21227221337812e-05
lNONHSAG028194,2.1922806303091397e-05
lNONHSAG035305,2.1908206914830174e-05
lNONHSAG049268,2.185085388389476e-05
lNONHSAG040320,2.173114329551377e-05
lNONHSAG037041,2.147199785350075e-05
lNONHSAG038091,2.1458554311417734e-05
lNONHSAG017074,2.1366914436117673e-05
lNONHSAG020671,2.126906543126918e-05
lNONHSAG000579,2.122095431616776e-05
lNONHSAG053081,2.1200040148104798e-05
lNONHSAG044666,2.1135724356135122e-05
lNONHSAG046839,2.103441022649185e-05
lNONHSAG033121,2.103185496428256e-05
lNONHSAG027247,2.100328144662884e-05
lNONHSAG048817,2.0965612211260562e-05
lNONHSAG042000,2.0960041759957077e-05
lNONHSAG013555,2.094385385024388e-05
lNONHSAG052943,2.0924084983387408e-05
lNONHSAG017288,2.0904382714106234e-05
lNONHSAG034973,2.087416165992838e-05
lNONHSAG012025,2.0747319104987348e-05
lNONHSAG012022,2.0662476512081034e-05
lNONHSAG042357,2.055848431092428e-05
lNONHSAG051248,2.0533181041514104e-05
lNONHSAG017245,2.0396343170060266e-05
lNONHSAG047604,2.0388908117548463e-05
lNONHSAG031035,2.0373267172472845e-05
lNONHSAG016321,2.0370993117859044e-05
lNONHSAG048695,2.031205201163188e-05
lNONHSAG041236,2.0297326610598056e-05
lNONHSAG055124,2.0235961644421173e-05
lNONHSAG047182,2.0198110615633222e-05
lNONHSAG048159,2.0148973432009645e-05
lNONHSAG010779,2.0145907954965554e-05
lNONHSAG022057,2.0058630168283444e-05
lNONHSAG005734,2.0036663320864594e-05
lNONHSAG053586,1.999871592361428e-05
lNONHSAG052609,1.99828220755708e-05
lNONHSAG048616,1.9948303497850464e-05
lNONHSAG036047,1.994633953054867e-05
lNONHSAG031145,1.993990020157979e-05
lNONHSAG035677,1.9912751890405418e-05
lNONHSAG043250,1.9748841970628887e-05
lNONHSAG022651,1.9743596296653108e-05
lNONHSAG015097,1.970002786732972e-05
lNONHSAG044916,1.968935114730989e-05
lNONHSAG037420,1.95308151512807e-05
lNONHSAG052523,1.948366732566296e-05
lNONHSAG017882,1.9423827972185395e-05
lNONHSAG034873,1.942218682326602e-05
lNONHSAG036713,1.930837646002999e-05
lNONHSAG056025,1.9280980582612835e-05
lNONHSAG020390,1.927444836051636e-05
lNONHSAG037765,1.9272210733928677e-05
lNONHSAG053814,1.91483781207673e-05
lNONHSAG029596,1.9103866719989486e-05
lNONHSAG050514,1.9026974819779684e-05
lNONHSAG050980,1.8982880535788627e-05
lNONHSAG018387,1.891494619173655e-05
lNONHSAG033495,1.882905816956092e-05
lNONHSAG040870,1.8770337685381693e-05
lNONHSAG047466,1.87637644116008e-05
lNONHSAG049421,1.873060169292321e-05
lNONHSAG027049,1.871572781480314e-05
lNONHSAG014852,1.8695066937443767e-05
lNONHSAG018392,1.8604210546144806e-05
lNONHSAG034519,1.8585781239905042e-05
lNONHSAG007888,1.8552466994044266e-05
l7SK,1.8522213064312084e-05
lNONHSAG006598,1.849193346438129e-05
lNONHSAG030407,1.8485068463832033e-05
lNONHSAG036736,1.8477645708007685e-05
lNONHSAG047319,1.8451278300318347e-05
lNONHSAG032682,1.8450485929893523e-05
lNONHSAG055450,1.8439319341293668e-05
lNONHSAG001242,1.841767106406574e-05
lNONHSAG021874,1.8207148746196093e-05
lNONHSAG027840,1.8153760029917877e-05
lNONHSAG023635,1.8082339208912025e-05
lNONHSAG010405,1.804041473344408e-05
lNONHSAG041431,1.789148851426522e-05
lENSG00000282740,1.7860509462654235e-05
lNONHSAG006824,1.7850398073529984e-05
lNONHSAG029873,1.7835809140596574e-05
lNONHSAG048639,1.780315372694174e-05
lNONHSAG040784,1.7731609757369888e-05
lNONHSAG004197,1.7707122012573715e-05
