lncRNA,score
lNONMMUG026340,0.006645048295971171
lNONMMUG025750,0.005481356675823122
lNONMMUG045569,0.003916894877653314
lNONMMUG002215,0.0028004841917820137
lNONMMUG027333,0.0015133918074811618
lD230017M19Rik,0.0007286543652346198
l9330185C12Rik,0.0004823709009146507
lNONMMUG006378,0.00040885127373539926
lNONMMUG009216,0.0004070748364931511
lNONMMUG016294,0.0004056033562056604
lNONMMUG039685,0.00039263038222860775
lNONMMUG016370,0.0003839194381401524
lNONMMUG020672,0.00038311442442427306
lNONMMUG010475,0.0003633115557770183
lNONMMUG005124,0.0003529352340362137
lNONMMUG017485,0.00034756215712841053
lNONMMUG013779,0.0003441475735814195
lNONMMUG030662,0.00033708901672157193
lNONMMUG031589,0.0003367036486886538
lNONMMUG005081,0.0003344709354400926
lNONMMUG034044,0.00033342562602183895
lNONMMUG034674,0.0003314633645897394
lNONMMUG001288,0.000327628269857991
lNONMMUG008008,0.00032606760838548916
lNONMMUG038955,0.00032584006891133506
lNONMMUG040688,0.0003253267413574937
lNONMMUG007448,0.00032473302261885477
lNONMMUG007538,0.0003227080002177773
lNONMMUG041610,0.00032209274264068035
lNONMMUG013958,0.0003214946517534134
l1700112D23Rik,0.00032054706883411394
lNONMMUG027814,0.00031841040098968686
lNONMMUG022506,0.0003180459778128924
lNONMMUG024327,0.00031794527848549625
lNONMMUG041922,0.00031628420149239846
lNONMMUG011548,0.0003159197947437633
lNONMMUG024933,0.00031556512730766616
lNONMMUG005099,0.00031528763926465215
lNONMMUG022455,0.00031527154155222916
lNONMMUG029850,0.0003146381626993331
lNONMMUG005734,0.0003136859322788976
lNONMMUG044745,0.0003131890197540173
lNONMMUG024582,0.0003122662630103939
lNONMMUG025370,0.0003117466860350383
lNONMMUG028613,0.00031118208033792925
lTtc28,0.00031035463297616187
lNONMMUG034895,0.0003098954687811432
lNONMMUG044990,0.00030976383436152573
lNONMMUG037717,0.0003093711879359943
lNONMMUG025731,0.00030913610767252015
lNONMMUG033341,0.0003075137734822793
lNONMMUG014586,0.0003074825840438231
lNONMMUG025457,0.0003074682031257537
lNONMMUG015459,0.00030422572211457607
lNONMMUG000471,0.00030363972680721806
lNONMMUG039791,0.00030310233929334865
lNONMMUG013980,0.0003028913099544177
lNONMMUG036279,0.0003025470655575486
lNONMMUG043058,0.00030231096186007956
lNONMMUG032702,0.0003004104783002728
lNONMMUG014942,0.00030021514181225356
lNONMMUG001711,0.0002984927118658762
lNONMMUG025278,0.000297901033574249
lNONMMUG022766,0.0002972550985281971
lNONMMUG039487,0.00029402424970568575
lNONMMUG030841,0.00029096630793986727
lNONMMUG030172,0.0002896603917691916
lNONMMUG030868,0.0002896206324551784
lNONMMUG022650,0.0002876328626909392
lNONMMUG020671,0.0002846457894261329
lNONMMUG019995,0.0002817871638400156
lNONMMUG041125,0.0002796543175242713
lNONMMUG001052,0.00027866394134467724
lNONMMUG021267,0.0002771540649629747
lNONMMUG035092,0.00027490308416039524
