lncRNA_id,protein_id
l0610025J13Rik,pRbfox2
l1010001B22Rik,pQki
l1110002J07Rik,pYy1
l1110008F13Rik,pCelf1
l1110008F13Rik,pFus
l1110008F13Rik,pPabpc1
l1110008F13Rik,pTardbp
l1110008F13Rik,pUpf1
l1110008P14Rik,pCelf1
l1110008P14Rik,pFmr1
l1110008P14Rik,pFus
l1110008P14Rik,pPabpc1
l1110008P14Rik,pTardbp
l1110008P14Rik,pUpf1
l1110017D15Rik,pFus
l1110017D15Rik,pMbnl3
l1110019D14Rik,pAgo1
l1110019D14Rik,pAgo2
l1110019D14Rik,pAgo4
l1110019D14Rik,pDazl
l1110019D14Rik,pFmr1
l1110019D14Rik,pPkm
l1110019D14Rik,pPabpc1
l1110019D14Rik,pPou5f1
l1110019D14Rik,pPtbp2
l1110019D14Rik,pRbfox2
l1110019D14Rik,pSfpq
l1110019D14Rik,pZfp36
l1110019D14Rik,pYy1
l1110019D14Rik,pHdlbp
l1110020A21Rik,pDazl
l1110020A21Rik,pRbfox2
l1110020A21Rik,pSfpq
l1110028F11Rik,pRbfox2
l1110032A03Rik,pCelf1
l1110032A03Rik,pFmr1
l1110032A03Rik,pFus
l1110032A03Rik,pMbnl1
l1110032A03Rik,pTardbp
l1110032A03Rik,pUpf1
l1110059E24Rik,pCelf1
l1110059E24Rik,pEzh2
l1110059E24Rik,pFus
l1110059E24Rik,pTardbp
l1110059E24Rik,pUpf1
l1110065P20Rik,pFus
l1110065P20Rik,pTardbp
l1110065P20Rik,pUpf1
l1300002E11Rik,pPabpc1
l1300002E11Rik,pPou5f1
l1300002E11Rik,pQki
l1300002E11Rik,pRbm10
l1300002E11Rik,pRbfox2
l1300002E11Rik,pSfpq
l1300002E11Rik,pTia1
l1500002F19Rik,pPabpc1
l1500002F19Rik,pPspc1
l1500002F19Rik,pPou5f1
l1500002F19Rik,pRbfox2
l1500002F19Rik,pSfpq
l1500002F19Rik,pZfp36
l1500002F19Rik,pYy1
l1500011K16Rik,pPabpc1
l1500011K16Rik,pRbfox2
l1500011K16Rik,pSfpq
l1500012K07Rik,pPou5f1
l1500012K07Rik,pTia1
l1500012K07Rik,pYy1
l1500026H17Rik,pFmr1
l1500026H17Rik,pPabpc1
