"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","cytosol","23.29%","684","1548","5713","20795","7.15e-49","6.51e-46","1.61","6.51e-46","6.13e-46","4.23e-49"
"GOTERM_CC_DIRECT","nucleus","24.45%","718","1548","6244","20795","2.78e-45","1.26e-42","1.54","2.53e-42","1.19e-42","1.72e-45"
"GOTERM_CC_DIRECT","nucleoplasm","17.88%","525","1548","4107","20795","1.39e-42","4.21e-40","1.72","1.26e-39","3.97e-40","7.63e-43"
"GOTERM_MF_DIRECT","protein binding","44.50%","1307","1532","13690","19253","3.03e-42","4.69e-39","1.20","4.68e-39","4.60e-39","2.48e-42"
"GOTERM_MF_DIRECT","RNA binding","8.51%","250","1532","1485","19253","7.92e-32","6.12e-29","2.12","1.22e-28","6.01e-29","3.39e-32"
"GOTERM_CC_DIRECT","cytoplasm","21.65%","636","1548","6004","20795","5.05e-27","1.15e-24","1.42","4.60e-24","1.08e-24","3.43e-27"
"GOTERM_CC_DIRECT","cytosolic ribosome","1.40%","41","1548","97","20795","1.79e-20","3.25e-18","5.68","1.63e-17","3.06e-18","2.00e-21"
"GOTERM_BP_DIRECT","cytoplasmic translation","1.36%","40","1512","92","19478","6.92e-20","3.19e-16","5.60","3.19e-16","3.17e-16","7.71e-21"
"GOTERM_CC_DIRECT","focal adhesion","3.06%","90","1548","433","20795","5.34e-19","8.09e-17","2.79","4.86e-16","7.62e-17","1.64e-19"
"GOTERM_CC_DIRECT","ribonucleoprotein complex","2.28%","67","1548","292","20795","1.44e-16","1.87e-14","3.08","1.01e-13","1.76e-14","3.90e-17"
"GOTERM_BP_DIRECT","translation","1.87%","55","1512","227","19478","6.07e-14","1.40e-10","3.12","2.80e-10","1.39e-10","1.60e-14"
"GOTERM_CC_DIRECT","cytosolic large ribosomal subunit","0.85%","25","1548","57","20795","4.75e-13","5.40e-11","5.89","4.32e-10","5.08e-11","5.00e-14"
"GOTERM_MF_DIRECT","mRNA binding","1.80%","53","1532","253","19253","1.63e-10","8.39e-8","2.63","2.51e-7","8.23e-8","5.28e-11"
"GOTERM_MF_DIRECT","structural constituent of ribosome","1.50%","44","1532","189","19253","2.22e-10","8.60e-8","2.93","3.44e-7","8.44e-8","6.31e-11"
"GOTERM_CC_DIRECT","ribosome","1.36%","40","1548","175","20795","4.34e-10","4.38e-8","3.07","3.95e-7","4.13e-8","1.17e-10"
"GOTERM_CC_DIRECT","Golgi apparatus","4.77%","140","1548","1122","20795","1.22e-9","1.11e-7","1.68","1.11e-6","1.05e-7","6.82e-10"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","1.63%","48","1512","237","19478","1.88e-9","2.89e-6","2.61","8.67e-6","2.87e-6","6.20e-10"
"GOTERM_CC_DIRECT","extracellular exosome","8.17%","240","1548","2242","20795","2.92e-9","2.42e-7","1.44","2.66e-6","2.28e-7","1.90e-9"
"GOTERM_MF_DIRECT","cadherin binding","1.94%","57","1532","319","19253","1.46e-8","4.51e-6","2.25","2.25e-5","4.42e-6","5.62e-9"
"GOTERM_CC_DIRECT","protein-containing complex","3.17%","93","1548","691","20795","3.20e-8","2.43e-6","1.81","2.92e-5","2.29e-6","1.62e-8"
"GOTERM_BP_DIRECT","protein K48-linked ubiquitination","0.89%","26","1512","95","19478","3.94e-8","4.54e-5","3.53","1.82e-4","4.51e-5","8.81e-9"
"GOTERM_CC_DIRECT","membrane","16.82%","494","1548","5415","20795","5.79e-8","4.05e-6","1.23","5.27e-5","3.82e-6","4.65e-8"
"GOTERM_MF_DIRECT","ubiquitin-protein transferase activity","1.50%","44","1532","235","19253","2.07e-7","5.34e-5","2.35","3.20e-4","5.24e-5","7.70e-8"
"GOTERM_BP_DIRECT","chromatin remodeling","3.13%","92","1512","686","19478","2.91e-7","2.68e-4","1.73","1.34e-3","2.66e-4","1.54e-7"
"GOTERM_CC_DIRECT","Golgi membrane","3.17%","93","1548","727","20795","3.38e-7","2.19e-5","1.72","3.07e-4","2.07e-5","1.81e-7"
"GOTERM_CC_DIRECT","nuclear speck","2.21%","65","1548","449","20795","3.75e-7","2.27e-5","1.94","3.41e-4","2.14e-5","1.77e-7"
"GOTERM_CC_DIRECT","spliceosomal complex","1.02%","30","1548","143","20795","6.11e-7","3.47e-5","2.82","5.56e-4","3.27e-5","1.84e-7"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","1.74%","51","1532","304","19253","6.70e-7","1.48e-4","2.11","1.03e-3","1.45e-4","2.82e-7"
"GOTERM_BP_DIRECT","protein export from nucleus","0.48%","14","1512","34","19478","6.91e-7","5.31e-4","5.30","3.18e-3","5.27e-4","8.59e-8"
"GOTERM_CC_DIRECT","intracellular membrane-bounded organelle","4.05%","119","1548","1022","20795","1.00e-6","5.37e-5","1.56","9.12e-4","5.05e-5","6.09e-7"
"GOTERM_BP_DIRECT","cell division","2.04%","60","1512","397","19478","1.03e-6","6.75e-4","1.95","4.72e-3","6.71e-4","4.64e-7"
"GOTERM_CC_DIRECT","cytosolic small ribosomal subunit","0.51%","15","1548","43","20795","1.50e-6","7.61e-5","4.69","1.37e-3","7.17e-5","2.30e-7"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","3.13%","92","1512","714","19478","1.67e-6","9.61e-4","1.66","7.66e-3","9.55e-4","9.31e-7"
