"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","cytosol","29.24%","624","1388","5713","20795","2.02e-47","1.78e-44","1.64","1.78e-44","1.69e-44","1.18e-47"
"GOTERM_CC_DIRECT","nucleus","30.46%","650","1388","6244","20795","1.58e-42","6.95e-40","1.56","1.39e-39","6.60e-40","9.73e-43"
"GOTERM_CC_DIRECT","nucleoplasm","22.59%","482","1388","4107","20795","4.92e-42","1.44e-39","1.76","4.32e-39","1.37e-39","2.65e-42"
"GOTERM_MF_DIRECT","protein binding","55.48%","1184","1383","13690","19253","1.04e-39","1.51e-36","1.20","1.51e-36","1.49e-36","8.47e-40"
"GOTERM_MF_DIRECT","RNA binding","10.54%","225","1383","1485","19253","2.54e-28","1.85e-25","2.11","3.70e-25","1.83e-25","1.10e-28"
"GOTERM_CC_DIRECT","cytoplasm","26.76%","571","1388","6004","20795","1.98e-24","4.36e-22","1.42","1.74e-21","4.14e-22","1.35e-24"
"GOTERM_CC_DIRECT","cytosolic ribosome","1.78%","38","1388","97","20795","2.92e-19","5.13e-17","5.87","2.57e-16","4.87e-17","3.30e-20"
"GOTERM_BP_DIRECT","cytoplasmic translation","1.73%","37","1359","92","19478","1.35e-18","5.75e-15","5.76","5.76e-15","5.71e-15","1.53e-19"
"GOTERM_CC_DIRECT","focal adhesion","3.75%","80","1388","433","20795","1.27e-16","1.86e-14","2.77","9.76e-14","1.77e-14","4.03e-17"
"GOTERM_CC_DIRECT","ribonucleoprotein complex","2.86%","61","1388","292","20795","3.34e-15","4.20e-13","3.13","2.93e-12","3.99e-13","8.90e-16"
"GOTERM_BP_DIRECT","translation","2.34%","50","1359","227","19478","8.18e-13","1.75e-9","3.16","3.50e-9","1.74e-9","2.17e-13"
"GOTERM_CC_DIRECT","cytosolic large ribosomal subunit","1.08%","23","1388","57","20795","4.17e-12","4.58e-10","6.05","3.67e-9","4.35e-10","4.50e-13"
"GOTERM_MF_DIRECT","structural constituent of ribosome","1.92%","41","1383","189","19253","4.56e-10","2.22e-7","3.02","6.65e-7","2.19e-7","1.27e-10"
"GOTERM_CC_DIRECT","Golgi apparatus","6.04%","129","1388","1122","20795","1.16e-9","1.14e-7","1.72","1.02e-6","1.08e-7","6.24e-10"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","2.11%","45","1359","237","19478","2.00e-9","2.84e-6","2.72","8.54e-6","2.82e-6","6.34e-10"
"GOTERM_CC_DIRECT","extracellular exosome","10.31%","220","1388","2242","20795","2.21e-9","1.95e-7","1.47","1.95e-6","1.85e-7","1.44e-9"
"GOTERM_CC_DIRECT","protein-containing complex","4.17%","89","1388","691","20795","3.26e-9","2.60e-7","1.93","2.86e-6","2.47e-7","1.56e-9"
"GOTERM_CC_DIRECT","ribosome","1.69%","36","1388","175","20795","4.02e-9","2.94e-7","3.08","3.53e-6","2.80e-7","1.10e-9"
"GOTERM_BP_DIRECT","chromatin remodeling","4.22%","90","1359","686","19478","8.74e-9","9.35e-6","1.88","3.74e-5","9.28e-6","4.32e-9"
"GOTERM_MF_DIRECT","mRNA binding","2.16%","46","1383","253","19253","1.28e-8","4.67e-6","2.53","1.87e-5","4.61e-6","4.42e-9"
"GOTERM_BP_DIRECT","protein export from nucleus","0.66%","14","1359","34","19478","2.02e-7","1.73e-4","5.90","8.63e-4","1.71e-4","2.24e-8"
"GOTERM_CC_DIRECT","intracellular membrane-bounded organelle","5.25%","112","1388","1022","20795","2.07e-7","1.40e-5","1.64","1.82e-4","1.33e-5","1.18e-7"
"GOTERM_CC_DIRECT","Golgi membrane","4.03%","86","1388","727","20795","2.84e-7","1.78e-5","1.77","2.50e-4","1.70e-5","1.51e-7"
"GOTERM_BP_DIRECT","cell division","2.67%","57","1359","397","19478","3.53e-7","2.52e-4","2.06","1.51e-3","2.50e-4","1.57e-7"
"GOTERM_BP_DIRECT","protein K48-linked ubiquitination","1.08%","23","1359","95","19478","4.49e-7","2.74e-4","3.47","1.92e-3","2.72e-4","1.05e-7"
"GOTERM_MF_DIRECT","ubiquitin-protein transferase activity","1.87%","40","1383","235","19253","7.49e-7","2.03e-4","2.37","1.09e-3","2.00e-4","2.79e-7"
"GOTERM_MF_DIRECT","cadherin binding","2.30%","49","1383","319","19253","8.34e-7","2.03e-4","2.14","1.22e-3","2.00e-4","3.52e-7"
"GOTERM_CC_DIRECT","membrane","20.57%","439","1388","5415","20795","1.02e-6","5.98e-5","1.21","8.96e-4","5.68e-5","8.37e-7"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","2.20%","47","1383","304","19253","1.20e-6","2.51e-4","2.15","1.75e-3","2.48e-4","5.02e-7"
"GOTERM_MF_DIRECT","ATPase activator activity","0.56%","12","1383","28","19253","1.72e-6","3.13e-4","5.97","2.50e-3","3.09e-4","1.86e-7"
"GOTERM_CC_DIRECT","cytosolic small ribosomal subunit","0.66%","14","1388","43","20795","2.71e-6","1.49e-4","4.88","2.38e-3","1.41e-4","4.08e-7"
"GOTERM_BP_DIRECT","protein transport","2.95%","63","1359","496","19478","5.43e-6","2.90e-3","1.82","2.29e-2","2.88e-3","2.75e-6"
"GOTERM_CC_DIRECT","postsynaptic density","1.78%","38","1388","257","20795","8.00e-6","4.13e-4","2.22","7.00e-3","3.93e-4","3.25e-6"
"GOTERM_CC_DIRECT","ubiquitin ligase complex","1.03%","22","1388","109","20795","9.19e-6","4.36e-4","3.02","8.05e-3","4.14e-4","2.58e-6"
"GOTERM_CC_DIRECT","nuclear speck","2.62%","56","1388","449","20795","9.42e-6","4.36e-4","1.87","8.25e-3","4.14e-4","4.66e-6"
"GOTERM_BP_DIRECT","protein polyubiquitination","1.27%","27","1359","148","19478","1.09e-5","5.20e-3","2.61","4.57e-2","5.16e-3","3.63e-6"
"GOTERM_MF_DIRECT","small GTPase binding","2.01%","43","1383","293","19253","1.35e-5","2.19e-3","2.04","1.95e-2","2.16e-3","6.00e-6"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","3.80%","81","1359","714","19478","1.67e-5","7.16e-3","1.63","6.91e-2","7.11e-3","9.82e-6"
"GOTERM_CC_DIRECT","spliceosomal complex","1.17%","25","1388","143","20795","2.51e-5","1.10e-3","2.62","2.18e-2","1.05e-3","8.37e-6"
"GOTERM_BP_DIRECT","RNA splicing","1.59%","34","1359","221","19478","2.73e-5","1.06e-2","2.21","1.10e-1","1.05e-2","1.11e-5"
"GOTERM_BP_DIRECT","regulation of cellular response to heat","0.37%","8","1359","15","19478","3.08e-5","1.10e-2","7.64","1.24e-1","1.09e-2","2.27e-6"
"GOTERM_CC_DIRECT","nuclear membrane","1.78%","38","1388","274","20795","3.38e-5","1.42e-3","2.08","2.93e-2","1.35e-3","1.48e-5"
"GOTERM_MF_DIRECT","phosphoprotein phosphatase activity","0.70%","15","1383","57","19253","3.71e-5","5.42e-3","3.66","5.27e-2","5.35e-3","8.06e-6"
"GOTERM_CC_DIRECT","melanosome","0.94%","20","1388","102","20795","3.95e-5","1.58e-3","2.94","3.41e-2","1.50e-3","1.15e-5"
"GOTERM_BP_DIRECT","viral protein processing","0.52%","11","1359","32","19478","4.10e-5","1.35e-2","4.93","1.61e-1","1.34e-2","6.02e-6"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","4.69%","100","1359","958","19478","4.88e-5","1.49e-2","1.50","1.89e-1","1.48e-2","3.06e-5"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","3.70%","79","1388","750","20795","6.23e-5","2.38e-3","1.58","5.33e-2","2.26e-3","3.69e-5"
"GOTERM_BP_DIRECT","mRNA transport","0.89%","19","1359","93","19478","6.53e-5","1.86e-2","2.93","2.44e-1","1.85e-2","1.89e-5"
"GOTERM_MF_DIRECT","transcription coactivator activity","1.87%","40","1383","283","19253","6.58e-5","8.72e-3","1.97","9.15e-2","8.61e-3","3.04e-5"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","3.09%","66","1359","573","19478","7.17e-5","1.92e-2","1.65","2.64e-1","1.90e-2","4.01e-5"
"GOTERM_CC_DIRECT","nuclear pore","0.89%","19","1388","98","20795","7.57e-5","2.77e-3","2.90","6.44e-2","2.63e-3","2.22e-5"
"GOTERM_BP_DIRECT","nucleocytoplasmic transport","0.61%","13","1359","48","19478","8.32e-5","2.09e-2","3.88","2.99e-1","2.08e-2","1.69e-5"
"GOTERM_MF_DIRECT","nuclear export signal receptor activity","0.33%","7","1383","12","19253","8.57e-5","9.82e-3","8.12","1.18e-1","9.69e-3","5.58e-6"
"GOTERM_CC_DIRECT","mitochondrion","7.26%","155","1388","1721","20795","8.69e-5","3.06e-3","1.35","7.36e-2","2.90e-3","6.26e-5"
"GOTERM_MF_DIRECT","cytoskeletal protein binding","0.66%","14","1383","54","19253","8.75e-5","9.82e-3","3.61","1.20e-1","9.69e-3","1.94e-5"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","5.58%","119","1359","1205","19478","9.78e-5","2.27e-2","1.42","3.42e-1","2.25e-2","6.29e-5"
"GOTERM_BP_DIRECT","protein glycosylation","1.03%","22","1359","122","19478","1.01e-4","2.27e-2","2.58","3.51e-1","2.25e-2","3.39e-5"
"GOTERM_CC_DIRECT","endoplasmic reticulum","5.39%","115","1388","1213","20795","1.20e-4","3.96e-3","1.42","9.98e-2","3.76e-3","7.66e-5"
"GOTERM_CC_DIRECT","actin cytoskeleton","1.78%","38","1388","291","20795","1.22e-4","3.96e-3","1.96","1.01e-1","3.76e-3","5.68e-5"
"GOTERM_MF_DIRECT","ubiquitin conjugating enzyme activity","0.52%","11","1383","36","19253","1.59e-4","1.57e-2","4.25","2.07e-1","1.55e-2","2.84e-5"
"GOTERM_MF_DIRECT","nucleic acid binding","1.87%","40","1383","295","19253","1.61e-4","1.57e-2","1.89","2.09e-1","1.55e-2","7.80e-5"
"GOTERM_BP_DIRECT","protein ubiquitination","2.44%","52","1359","439","19478","2.32e-4","4.49e-2","1.70","6.30e-1","4.46e-2","1.27e-4"
"GOTERM_BP_DIRECT","regulation of RNA splicing","0.75%","16","1359","77","19478","2.40e-4","4.49e-2","2.98","6.43e-1","4.46e-2","6.80e-5"
"GOTERM_BP_DIRECT","intracellular protein transport","1.73%","37","1359","278","19478","2.43e-4","4.49e-2","1.91","6.47e-1","4.46e-2","1.16e-4"
"GOTERM_BP_DIRECT","apoptotic process","3.33%","71","1359","656","19478","2.48e-4","4.49e-2","1.55","6.53e-1","4.46e-2","1.48e-4"
"GOTERM_BP_DIRECT","mRNA splicing, via spliceosome","1.36%","29","1359","197","19478","2.52e-4","4.49e-2","2.11","6.60e-1","4.46e-2","1.07e-4"
"GOTERM_BP_DIRECT","ribosomal small subunit biogenesis","0.75%","16","1359","78","19478","2.79e-4","4.77e-2","2.94","6.97e-1","4.74e-2","8.01e-5"
"GOTERM_CC_DIRECT","P-body","0.84%","18","1388","100","20795","3.13e-4","9.81e-3","2.70","2.40e-1","9.32e-3","1.00e-4"
"GOTERM_CC_DIRECT","adherens junction","1.27%","27","1388","188","20795","3.24e-4","9.81e-3","2.15","2.48e-1","9.32e-3","1.35e-4"
"GOTERM_BP_DIRECT","regulation of translation","0.94%","20","1359","114","19478","3.25e-4","5.33e-2","2.51","7.52e-1","5.29e-2","1.13e-4"
"GOTERM_BP_DIRECT","protein autoubiquitination","0.70%","15","1359","71","19478","3.37e-4","5.33e-2","3.03","7.63e-1","5.29e-2","9.32e-5"
"GOTERM_BP_DIRECT","macroautophagy","0.70%","15","1359","72","19478","3.91e-4","5.98e-2","2.99","8.13e-1","5.93e-2","1.10e-4"
"GOTERM_MF_DIRECT","transcription corepressor activity","1.41%","30","1383","207","19253","4.09e-4","3.54e-2","2.02","4.49e-1","3.49e-2","1.83e-4"
"GOTERM_MF_DIRECT","protein domain specific binding","1.45%","31","1383","217","19253","4.12e-4","3.54e-2","1.99","4.52e-1","3.49e-2","1.87e-4"
"GOTERM_CC_DIRECT","nuclear envelope","1.36%","29","1388","212","20795","4.19e-4","1.20e-2","2.05","3.08e-1","1.14e-2","1.85e-4"
"GOTERM_CC_DIRECT","nuclear matrix","0.98%","21","1388","131","20795","4.25e-4","1.20e-2","2.40","3.12e-1","1.14e-2","1.56e-4"
"GOTERM_MF_DIRECT","ATP binding","6.84%","146","1383","1546","19253","4.59e-4","3.72e-2","1.31","4.88e-1","3.68e-2","3.21e-4"
"GOTERM_BP_DIRECT","regulation of transcription by RNA polymerase II","7.26%","155","1359","1711","19478","5.14e-4","7.58e-2","1.30","8.89e-1","7.52e-2","3.70e-4"
"GOTERM_CC_DIRECT","stress fiber","0.75%","16","1388","86","20795","5.22e-4","1.43e-2","2.79","3.68e-1","1.36e-2","1.61e-4"
"GOTERM_MF_DIRECT","SMAD binding","0.56%","12","1383","49","19253","5.76e-4","4.42e-2","3.41","5.68e-1","4.37e-2","1.37e-4"
"GOTERM_BP_DIRECT","DNA damage response","1.83%","39","1359","313","19478","6.01e-4","8.57e-2","1.79","9.24e-1","8.51e-2","3.09e-4"
"GOTERM_BP_DIRECT","negative regulation of apoptotic process","2.67%","57","1359","515","19478","6.26e-4","8.64e-2","1.59","9.31e-1","8.58e-2","3.76e-4"
"GOTERM_BP_DIRECT","chromatin organization","1.55%","33","1359","254","19478","8.42e-4","1.11e-1","1.86","9.73e-1","1.10e-1","4.12e-4"
"GOTERM_BP_DIRECT","podocyte development","0.28%","6","1359","12","19478","8.55e-4","1.11e-1","7.17","9.74e-1","1.10e-1","7.31e-5"
"GOTERM_MF_DIRECT","protein serine kinase activity","2.06%","44","1383","365","19253","9.29e-4","6.21e-2","1.68","7.42e-1","6.13e-2","5.13e-4"
"GOTERM_BP_DIRECT","protein N-linked glycosylation via asparagine","0.37%","8","1359","24","19478","9.51e-4","1.20e-1","4.78","9.83e-1","1.19e-1","1.47e-4"
"GOTERM_MF_DIRECT","DNA binding","6.56%","140","1383","1500","19253","9.51e-4","6.21e-2","1.30","7.50e-1","6.13e-2","6.94e-4"
"GOTERM_MF_DIRECT","ubiquitin protein ligase activity","2.01%","43","1383","355","19253","9.70e-4","6.21e-2","1.69","7.57e-1","6.13e-2","5.38e-4"
"GOTERM_MF_DIRECT","Hsp70 protein binding","0.56%","12","1383","52","19253","9.79e-4","6.21e-2","3.21","7.60e-1","6.13e-2","2.51e-4"
"GOTERM_CC_DIRECT","centriolar satellite","1.03%","22","1388","150","20795","9.94e-4","2.65e-2","2.20","5.83e-1","2.51e-2","4.04e-4"
"GOTERM_BP_DIRECT","protein stabilization","1.50%","32","1359","246","19478","1.00e-3","1.22e-1","1.86","9.86e-1","1.21e-1","4.90e-4"
"GOTERM_CC_DIRECT","catalytic step 2 spliceosome","0.75%","16","1388","92","20795","1.08e-3","2.79e-2","2.61","6.13e-1","2.65e-2","3.59e-4"
"GOTERM_CC_DIRECT","nucleolus","5.86%","125","1388","1423","20795","1.18e-3","2.90e-2","1.32","6.46e-1","2.76e-2","8.72e-4"
