"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","cytosol","22.28%","748","1728","5713","20795","1.60e-49","1.53e-46","1.58","1.53e-46","1.43e-46","9.64e-50"
"GOTERM_CC_DIRECT","nucleus","23.65%","794","1728","6244","20795","2.48e-48","1.18e-45","1.53","2.36e-45","1.11e-45","1.54e-48"
"GOTERM_CC_DIRECT","nucleoplasm","17.30%","581","1728","4107","20795","4.92e-46","1.56e-43","1.70","4.69e-43","1.46e-43","2.71e-46"
"GOTERM_MF_DIRECT","protein binding","43.18%","1450","1709","13690","19253","3.78e-44","6.14e-41","1.19","6.13e-41","6.03e-41","3.11e-44"
"GOTERM_MF_DIRECT","RNA binding","8.19%","275","1709","1485","19253","3.89e-34","3.15e-31","2.09","6.30e-31","3.10e-31","1.67e-34"
"GOTERM_CC_DIRECT","cytoplasm","20.85%","700","1728","6004","20795","1.07e-27","2.55e-25","1.40","1.02e-24","2.39e-25","7.36e-28"
"GOTERM_CC_DIRECT","cytosolic ribosome","1.25%","42","1728","97","20795","1.11e-19","2.12e-17","5.21","1.06e-16","1.98e-17","1.34e-20"
"GOTERM_CC_DIRECT","focal adhesion","2.89%","97","1728","433","20795","1.67e-19","2.65e-17","2.70","1.59e-16","2.48e-17","5.25e-20"
"GOTERM_BP_DIRECT","cytoplasmic translation","1.22%","41","1683","92","19478","3.52e-19","1.69e-15","5.16","1.69e-15","1.68e-15","4.22e-20"
"GOTERM_CC_DIRECT","ribonucleoprotein complex","2.03%","68","1728","292","20795","1.18e-14","1.61e-12","2.80","1.12e-11","1.51e-12","3.51e-15"
"GOTERM_CC_DIRECT","cytosolic large ribosomal subunit","0.80%","27","1728","57","20795","6.45e-14","7.69e-12","5.70","6.15e-11","7.20e-12","6.70e-15"
"GOTERM_BP_DIRECT","translation","1.70%","57","1683","227","19478","3.51e-13","8.44e-10","2.91","1.69e-9","8.40e-10","9.86e-14"
"GOTERM_MF_DIRECT","mRNA binding","1.67%","56","1709","253","19253","3.13e-10","1.70e-7","2.49","5.08e-7","1.67e-7","1.07e-10"
"GOTERM_CC_DIRECT","Golgi apparatus","4.59%","154","1728","1122","20795","4.18e-10","4.44e-8","1.65","3.99e-7","4.15e-8","2.37e-10"
"GOTERM_MF_DIRECT","structural constituent of ribosome","1.37%","46","1709","189","19253","6.02e-10","2.44e-7","2.74","9.77e-7","2.40e-7","1.81e-10"
"GOTERM_BP_DIRECT","ubiquitin-dependent protein catabolic process","1.55%","52","1683","237","19478","7.91e-10","1.27e-6","2.54","3.81e-6","1.26e-6","2.65e-10"
"GOTERM_CC_DIRECT","ribosome","1.25%","42","1728","175","20795","8.41e-10","8.02e-8","2.89","8.02e-7","7.51e-8","2.40e-10"
"GOTERM_CC_DIRECT","spliceosomal complex","1.07%","36","1728","143","20795","4.20e-9","3.64e-7","3.03","4.00e-6","3.41e-7","1.13e-9"
"GOTERM_CC_DIRECT","nuclear speck","2.20%","74","1728","449","20795","2.05e-8","1.63e-6","1.98","1.95e-5","1.52e-6","9.28e-9"
"GOTERM_CC_DIRECT","membrane","16.29%","547","1728","5415","20795","3.64e-8","2.67e-6","1.22","3.47e-5","2.50e-6","2.83e-8"
"GOTERM_MF_DIRECT","cadherin binding","1.79%","60","1709","319","19253","4.41e-8","1.23e-5","2.12","7.16e-5","1.21e-5","1.80e-8"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","1.73%","58","1709","304","19253","4.55e-8","1.23e-5","2.15","7.38e-5","1.21e-5","1.83e-8"
"GOTERM_BP_DIRECT","protein K48-linked ubiquitination","0.80%","27","1683","95","19478","7.70e-8","9.27e-5","3.29","3.71e-4","9.22e-5","1.83e-8"
"GOTERM_MF_DIRECT","ubiquitin-protein transferase activity","1.43%","48","1709","235","19253","9.18e-8","2.13e-5","2.30","1.49e-4","2.09e-5","3.45e-8"
"GOTERM_CC_DIRECT","Golgi membrane","3.07%","103","1728","727","20795","9.76e-8","6.65e-6","1.70","9.31e-5","6.23e-6","5.31e-8"
"GOTERM_BP_DIRECT","RNA splicing","1.34%","45","1683","221","19478","1.25e-7","1.21e-4","2.36","6.04e-4","1.20e-4","4.60e-8"
"GOTERM_BP_DIRECT","cell division","2.00%","67","1683","397","19478","1.71e-7","1.38e-4","1.95","8.25e-4","1.37e-4","7.82e-8"
"GOTERM_CC_DIRECT","protein-containing complex","2.92%","98","1728","691","20795","1.98e-7","1.26e-5","1.71","1.89e-4","1.18e-5","1.06e-7"
"GOTERM_BP_DIRECT","chromatin remodeling","2.98%","100","1683","686","19478","2.33e-7","1.61e-4","1.69","1.12e-3","1.60e-4","1.31e-7"
"GOTERM_CC_DIRECT","extracellular exosome","7.50%","252","1728","2242","20795","2.62e-7","1.56e-5","1.35","2.50e-4","1.46e-5","1.82e-7"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","3.01%","101","1683","714","19478","8.39e-7","5.05e-4","1.64","4.03e-3","5.02e-4","4.81e-7"
"GOTERM_CC_DIRECT","cytosolic small ribosomal subunit","0.48%","16","1728","43","20795","9.40e-7","5.27e-5","4.48","8.96e-4","4.94e-5","1.47e-7"
"GOTERM_BP_DIRECT","regulation of RNA splicing","0.66%","22","1683","77","19478","1.43e-6","7.67e-4","3.31","6.88e-3","7.62e-4","3.39e-7"
"GOTERM_MF_DIRECT","ATPase activator activity","0.39%","13","1709","28","19253","1.80e-6","3.34e-4","5.23","2.92e-3","3.28e-4","2.13e-7"
"GOTERM_MF_DIRECT","transcription coactivator activity","1.52%","51","1709","283","19253","1.85e-6","3.34e-4","2.03","3.00e-3","3.28e-4","8.10e-7"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","2.50%","84","1683","573","19478","1.93e-6","9.29e-4","1.70","9.25e-3","9.23e-4","1.05e-6"
"GOTERM_BP_DIRECT","protein export from nucleus","0.42%","14","1683","34","19478","2.33e-6","1.02e-3","4.77","1.12e-2","1.01e-3","3.25e-7"
"GOTERM_CC_DIRECT","intracellular membrane-bounded organelle","3.81%","128","1728","1022","20795","2.44e-6","1.29e-4","1.51","2.32e-3","1.21e-4","1.52e-6"
"GOTERM_CC_DIRECT","nuclear matrix","0.86%","29","1728","131","20795","2.73e-6","1.37e-4","2.66","2.60e-3","1.28e-4","8.63e-7"
