"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","protein binding","26.86%","940","3181","5596","28924","2.39e-49","4.57e-46","1.53","4.56e-46","4.35e-46","1.46e-49"
"GOTERM_CC_DIRECT","cytosol","20.83%","729","3218","4363","29722","6.20e-38","6.74e-35","1.54","6.74e-35","6.14e-35","3.75e-38"
"GOTERM_CC_DIRECT","cytoplasm","27.61%","966","3218","6408","29722","3.11e-33","1.69e-30","1.39","3.38e-30","1.54e-30","2.13e-33"
"GOTERM_CC_DIRECT","nucleus","25.69%","899","3218","6018","29722","4.66e-29","1.69e-26","1.38","5.07e-26","1.54e-26","3.22e-29"
"GOTERM_CC_DIRECT","nucleoplasm","16.89%","591","3218","3572","29722","6.32e-29","1.72e-26","1.53","6.87e-26","1.57e-26","3.87e-29"
"GOTERM_CC_DIRECT","glutamatergic synapse","5.69%","199","3218","869","29722","4.28e-25","9.31e-23","2.12","4.66e-22","8.49e-23","1.75e-25"
"GOTERM_CC_DIRECT","postsynaptic density","2.89%","101","3218","337","29722","1.03e-21","1.87e-19","2.77","1.12e-18","1.71e-19","2.95e-22"
"GOTERM_CC_DIRECT","synapse","4.52%","158","3218","724","29722","4.83e-18","7.50e-16","2.02","5.25e-15","6.83e-16","2.10e-18"
"GOTERM_MF_DIRECT","chromatin binding","3.69%","129","3181","561","28924","5.23e-16","5.00e-13","2.09","1.06e-12","4.76e-13","2.36e-16"
"GOTERM_BP_DIRECT","chromatin remodeling","4.03%","141","3218","671","29712","1.40e-14","6.27e-11","1.94","8.78e-11","6.16e-11","6.31e-15"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","6.54%","229","3218","1284","29712","2.02e-14","6.27e-11","1.65","1.26e-10","6.16e-11","1.12e-14"
"GOTERM_MF_DIRECT","ATP binding","7.60%","266","3181","1543","28924","4.80e-14","3.06e-11","1.57","9.18e-11","2.91e-11","2.82e-14"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","4.66%","163","3218","854","29722","5.93e-13","8.06e-11","1.76","6.45e-10","7.35e-11","3.18e-13"
"GOTERM_MF_DIRECT","RNA binding","4.54%","159","3181","816","28924","7.57e-13","3.62e-10","1.77","1.45e-9","3.45e-10","3.79e-13"
"GOTERM_CC_DIRECT","neuronal cell body","3.86%","135","3218","668","29722","1.04e-12","1.26e-10","1.87","1.13e-9","1.15e-10","4.99e-13"
"GOTERM_CC_DIRECT","protein-containing complex","4.86%","170","3218","924","29722","4.50e-12","4.89e-10","1.70","4.89e-9","4.46e-10","2.37e-12"
"GOTERM_MF_DIRECT","protein kinase binding","3.40%","119","3181","569","28924","6.91e-12","2.64e-9","1.90","1.32e-8","2.52e-9","3.18e-12"
"GOTERM_BP_DIRECT","mRNA processing","1.89%","66","3218","257","29712","4.44e-11","9.20e-8","2.37","2.76e-7","9.04e-8","1.55e-11"
"GOTERM_CC_DIRECT","dendrite","3.60%","126","3218","642","29722","4.79e-11","4.74e-9","1.81","5.21e-8","4.32e-9","2.36e-11"
"GOTERM_CC_DIRECT","dendritic spine","1.69%","59","3218","220","29722","8.26e-11","7.49e-9","2.48","8.98e-8","6.82e-9","2.73e-11"
"GOTERM_MF_DIRECT","protein serine kinase activity","2.40%","84","3181","366","28924","9.73e-11","3.10e-8","2.09","1.86e-7","2.95e-8","3.97e-11"
"GOTERM_CC_DIRECT","neuron projection","2.34%","82","3218","360","29722","1.15e-10","9.59e-9","2.10","1.25e-7","8.75e-9","4.63e-11"
"GOTERM_CC_DIRECT","Golgi apparatus","5.54%","194","3218","1149","29722","2.87e-10","2.23e-8","1.56","3.12e-7","2.03e-8","1.74e-10"
"GOTERM_BP_DIRECT","RNA splicing","1.54%","54","3218","201","29712","5.31e-10","8.26e-7","2.48","3.31e-6","8.11e-7","1.75e-10"
"GOTERM_CC_DIRECT","axon","2.97%","104","3218","516","29722","5.79e-10","4.20e-8","1.86","6.30e-7","3.83e-8","2.76e-10"
