"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","protein binding","24.77%","770","2795","5596","28924","5.35e-29","9.57e-26","1.42","9.57e-26","9.26e-26","3.59e-29"
"GOTERM_CC_DIRECT","glutamatergic synapse","5.85%","182","2823","869","29722","7.95e-25","7.95e-22","2.21","7.95e-22","7.32e-22","3.15e-25"
"GOTERM_CC_DIRECT","postsynaptic density","3.06%","95","2823","337","29722","2.23e-22","1.05e-19","2.97","2.23e-19","9.71e-20","5.99e-23"
"GOTERM_CC_DIRECT","cytosol","19.11%","594","2823","4363","29722","3.16e-22","1.05e-19","1.43","3.16e-19","9.71e-20","2.11e-22"
"GOTERM_CC_DIRECT","cytoplasm","25.54%","794","2823","6408","29722","1.21e-18","3.03e-16","1.30","1.21e-15","2.79e-16","8.98e-19"
"GOTERM_CC_DIRECT","synapse","4.25%","132","2823","724","29722","3.49e-13","6.97e-11","1.92","3.49e-10","6.42e-11","1.63e-13"
"GOTERM_CC_DIRECT","neuronal cell body","3.96%","123","2823","668","29722","1.14e-12","1.90e-10","1.94","1.14e-9","1.75e-10","5.44e-13"
"GOTERM_CC_DIRECT","dendritic spine","1.83%","57","2823","220","29722","4.71e-12","6.73e-10","2.73","4.71e-9","6.20e-10","1.41e-12"
"GOTERM_CC_DIRECT","nucleoplasm","14.31%","445","2823","3572","29722","4.24e-10","5.30e-8","1.31","4.24e-7","4.88e-8","3.16e-10"
"GOTERM_CC_DIRECT","neuron projection","2.35%","73","2823","360","29722","9.18e-10","1.02e-7","2.13","9.18e-7","9.39e-8","3.73e-10"
"GOTERM_CC_DIRECT","dendrite","3.54%","110","2823","642","29722","1.53e-9","1.53e-7","1.80","1.53e-6","1.41e-7","7.73e-10"
"GOTERM_MF_DIRECT","chromatin binding","3.22%","100","2795","561","28924","2.66e-9","2.38e-6","1.84","4.75e-6","2.30e-6","1.29e-9"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","4.34%","135","2823","854","29722","4.12e-9","3.74e-7","1.66","4.12e-6","3.45e-7","2.34e-9"
"GOTERM_BP_DIRECT","chromatin remodeling","3.60%","112","2824","671","29712","5.17e-9","2.95e-5","1.76","2.96e-5","2.93e-5","2.66e-9"
