"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","protein binding","27.65%","620","2060","5596","28924","2.66e-34","4.07e-31","1.56","4.07e-31","3.86e-31","1.64e-34"
"GOTERM_CC_DIRECT","glutamatergic synapse","6.78%","152","2079","869","29722","6.71e-26","6.09e-23","2.50","6.09e-23","5.56e-23","2.38e-26"
"GOTERM_CC_DIRECT","cytoplasm","28.01%","628","2079","6408","29722","3.75e-22","1.40e-19","1.40","3.40e-19","1.28e-19","2.60e-22"
"GOTERM_CC_DIRECT","postsynaptic density","3.57%","80","2079","337","29722","4.63e-22","1.40e-19","3.39","4.20e-19","1.28e-19","1.12e-22"
"GOTERM_CC_DIRECT","cytosol","20.52%","460","2079","4363","29722","1.84e-21","4.17e-19","1.51","1.67e-18","3.80e-19","1.17e-21"
"GOTERM_CC_DIRECT","neuronal cell body","4.68%","105","2079","668","29722","1.04e-14","1.89e-12","2.25","9.47e-12","1.72e-12","4.09e-15"
"GOTERM_CC_DIRECT","nucleus","24.84%","557","2079","6018","29722","7.71e-14","1.17e-11","1.32","7.00e-11","1.06e-11","5.71e-14"
"GOTERM_CC_DIRECT","nucleoplasm","16.06%","360","2079","3572","29722","2.11e-13","2.73e-11","1.44","1.91e-10","2.50e-11","1.47e-13"
"GOTERM_CC_DIRECT","dendrite","4.37%","98","2079","642","29722","5.15e-13","5.84e-11","2.18","4.67e-10","5.33e-11","2.13e-13"
"GOTERM_CC_DIRECT","dendritic spine","2.19%","49","2079","220","29722","1.18e-12","1.19e-10","3.18","1.07e-9","1.09e-10","3.10e-13"
"GOTERM_CC_DIRECT","synapse","4.59%","103","2079","724","29722","9.69e-12","8.79e-10","2.03","8.79e-9","8.02e-10","4.37e-12"
"GOTERM_MF_DIRECT","protein kinase binding","3.88%","87","2060","569","28924","2.70e-11","1.58e-8","2.15","4.13e-8","1.50e-8","1.13e-11"
"GOTERM_MF_DIRECT","chromatin binding","3.84%","86","2060","561","28924","3.11e-11","1.58e-8","2.15","4.75e-8","1.50e-8","1.31e-11"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","5.04%","113","2079","854","29722","8.72e-11","7.19e-9","1.89","7.91e-8","6.56e-9","4.11e-11"
"GOTERM_CC_DIRECT","axon","3.48%","78","2079","516","29722","2.37e-10","1.79e-8","2.16","2.15e-7","1.63e-8","9.93e-11"
"GOTERM_MF_DIRECT","protein serine kinase activity","2.77%","62","2060","366","28924","4.37e-10","1.67e-7","2.38","6.67e-7","1.58e-7","1.66e-10"
"GOTERM_CC_DIRECT","protein-containing complex","5.22%","117","2079","924","29722","5.69e-10","3.97e-8","1.81","5.17e-7","3.63e-8","2.91e-10"
"GOTERM_BP_DIRECT","chromatin remodeling","4.06%","91","2079","671","29712","2.05e-9","8.75e-6","1.94","1.04e-5","8.61e-6","9.81e-10"
"GOTERM_CC_DIRECT","neuron projection","2.63%","59","2079","360","29722","2.22e-9","1.44e-7","2.34","2.02e-6","1.31e-7","8.48e-10"
"GOTERM_MF_DIRECT","GTPase activator activity","2.05%","46","2060","244","28924","3.44e-9","1.05e-6","2.65","5.25e-6","9.95e-7","1.13e-9"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","6.56%","147","2079","1284","29712","3.46e-9","8.75e-6","1.64","1.75e-5","8.61e-6","2.01e-9"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","5.40%","121","2079","1005","29712","5.88e-9","9.89e-6","1.72","2.97e-5","9.74e-6","3.22e-9"
"GOTERM_MF_DIRECT","ATP binding","7.63%","171","2060","1543","28924","6.76e-9","1.72e-6","1.56","1.03e-5","1.63e-6","3.86e-9"
"GOTERM_CC_DIRECT","postsynaptic density, intracellular component","0.85%","19","2079","53","29722","8.97e-9","5.43e-7","5.13","8.14e-6","4.95e-7","1.23e-9"
"GOTERM_BP_DIRECT","actin cytoskeleton organization","1.96%","44","2079","239","29712","9.78e-9","1.24e-5","2.63","4.94e-5","1.22e-5","3.24e-9"
"GOTERM_MF_DIRECT","protein serine/threonine kinase activity","2.72%","61","2060","393","28924","1.84e-8","4.01e-6","2.18","2.81e-5","3.80e-6","7.52e-9"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","4.37%","98","2079","782","29712","2.70e-8","2.73e-5","1.79","1.37e-4","2.69e-5","1.41e-8"
"GOTERM_CC_DIRECT","lamellipodium","1.74%","39","2079","207","29722","3.94e-8","2.24e-6","2.69","3.58e-5","2.04e-6","1.27e-8"
"GOTERM_MF_DIRECT","transmembrane transporter binding","1.56%","35","2060","175","28924","7.37e-8","1.41e-5","2.81","1.13e-4","1.33e-5","2.24e-8"
"GOTERM_BP_DIRECT","nervous system development","2.27%","51","2079","321","29712","8.41e-8","7.08e-5","2.27","4.25e-4","6.97e-5","3.35e-8"
"GOTERM_CC_DIRECT","focal adhesion","1.69%","38","2079","205","29722","9.31e-8","4.97e-6","2.65","8.45e-5","4.54e-6","3.05e-8"
"GOTERM_MF_DIRECT","SH3 domain binding","1.29%","29","2060","130","28924","1.08e-7","1.84e-5","3.13","1.65e-4","1.74e-5","2.88e-8"
"GOTERM_CC_DIRECT","cytoskeleton","3.30%","74","2079","552","29722","1.16e-7","5.83e-6","1.92","1.05e-4","5.32e-6","5.62e-8"
"GOTERM_BP_DIRECT","endocytosis","1.61%","36","2079","191","29712","1.41e-7","1.02e-4","2.69","7.11e-4","9.99e-5","4.52e-8"
"GOTERM_CC_DIRECT","adherens junction","1.52%","34","2079","178","29722","2.37e-7","1.13e-5","2.73","2.15e-4","1.03e-5","7.49e-8"
"GOTERM_BP_DIRECT","intracellular signal transduction","2.72%","61","2079","432","29712","2.97e-7","1.88e-4","2.02","1.50e-3","1.85e-4","1.35e-7"
"GOTERM_CC_DIRECT","Golgi apparatus","5.66%","127","2079","1149","29722","3.12e-7","1.41e-5","1.58","2.83e-4","1.29e-5","1.86e-7"
"GOTERM_MF_DIRECT","protein-containing complex binding","3.84%","86","2060","687","28924","4.62e-7","6.84e-5","1.76","7.06e-4","6.48e-5","2.41e-7"
"GOTERM_MF_DIRECT","phosphatidylinositol-3,4,5-trisphosphate binding","0.71%","16","2060","47","28924","4.92e-7","6.84e-5","4.78","7.52e-4","6.48e-5","7.44e-8"
"GOTERM_CC_DIRECT","clathrin-coated pit","0.85%","19","2079","67","29722","5.06e-7","2.19e-5","4.05","4.59e-4","2.00e-5","9.67e-8"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","2.23%","50","2060","329","28924","7.58e-7","9.65e-5","2.13","1.16e-3","9.15e-5","3.20e-7"
"GOTERM_MF_DIRECT","protein phosphatase binding","1.16%","26","2060","119","28924","8.36e-7","9.83e-5","3.07","1.28e-3","9.32e-5","2.28e-7"
"GOTERM_MF_DIRECT","transcription coactivator activity","1.96%","44","2060","277","28924","1.16e-6","1.27e-4","2.23","1.77e-3","1.20e-4","4.62e-7"
"GOTERM_CC_DIRECT","chromatin","3.03%","68","2079","523","29722","1.21e-6","4.98e-5","1.86","1.10e-3","4.55e-5","6.01e-7"
"GOTERM_MF_DIRECT","protein kinase activity","1.96%","44","2060","279","28924","1.42e-6","1.44e-4","2.21","2.16e-3","1.36e-4","5.67e-7"
"GOTERM_MF_DIRECT","unfolded protein binding","0.98%","22","2060","92","28924","1.51e-6","1.44e-4","3.36","2.30e-3","1.36e-4","3.67e-7"
"GOTERM_MF_DIRECT","transcription corepressor activity","1.56%","35","2060","199","28924","1.69e-6","1.52e-4","2.47","2.57e-3","1.44e-4","6.00e-7"
"GOTERM_MF_DIRECT","kinase activity","1.38%","31","2060","165","28924","1.81e-6","1.54e-4","2.64","2.77e-3","1.46e-4","5.95e-7"
"GOTERM_CC_DIRECT","GABA-ergic synapse","1.43%","32","2079","177","29722","1.93e-6","7.61e-5","2.58","1.75e-3","6.94e-5","6.50e-7"
"GOTERM_CC_DIRECT","cytoplasmic side of plasma membrane","1.12%","25","2079","119","29722","2.16e-6","8.17e-5","3.00","1.96e-3","7.46e-5","6.07e-7"
"GOTERM_CC_DIRECT","synaptic vesicle","1.43%","32","2079","179","29722","2.46e-6","8.94e-5","2.56","2.23e-3","8.16e-5","8.42e-7"
"GOTERM_MF_DIRECT","ionotropic glutamate receptor binding","0.71%","16","2060","53","28924","2.72e-6","2.19e-4","4.24","4.15e-3","2.08e-4","4.88e-7"
"GOTERM_BP_DIRECT","vocalization behavior","0.45%","10","2079","20","29712","3.25e-6","1.83e-3","7.15","1.63e-2","1.80e-3","2.65e-7"
"GOTERM_BP_DIRECT","modulation of chemical synaptic transmission","1.25%","28","2079","148","29712","3.94e-6","1.99e-3","2.70","1.97e-2","1.96e-3","1.26e-6"
"GOTERM_CC_DIRECT","actin filament","0.98%","22","2079","99","29722","3.97e-6","1.38e-4","3.18","3.59e-3","1.26e-4","1.04e-6"
"GOTERM_BP_DIRECT","multicellular organism growth","1.38%","31","2079","175","29712","4.43e-6","2.03e-3","2.53","2.21e-2","2.00e-3","1.53e-6"
"GOTERM_CC_DIRECT","growth cone","1.47%","33","2079","193","29722","4.46e-6","1.50e-4","2.44","4.04e-3","1.37e-4","1.61e-6"
"GOTERM_MF_DIRECT","structural constituent of postsynaptic density","0.36%","8","2060","12","28924","5.28e-6","4.03e-4","9.36","8.03e-3","3.82e-4","2.49e-7"
"GOTERM_CC_DIRECT","endoplasmic reticulum","5.84%","131","2079","1262","29722","5.37e-6","1.74e-4","1.48","4.86e-3","1.59e-4","3.42e-6"
"GOTERM_CC_DIRECT","endomembrane system","2.10%","47","2079","329","29722","5.69e-6","1.78e-4","2.04","5.15e-3","1.62e-4","2.51e-6"
"GOTERM_MF_DIRECT","scaffold protein binding","0.94%","21","2060","92","28924","5.89e-6","4.29e-4","3.20","8.95e-3","4.06e-4","1.52e-6"
"GOTERM_MF_DIRECT","mRNA 3'-UTR binding","1.03%","23","2060","108","28924","6.35e-6","4.41e-4","2.99","9.64e-3","4.18e-4","1.78e-6"
"GOTERM_BP_DIRECT","chemical synaptic transmission","1.25%","28","2079","152","29712","6.62e-6","2.79e-3","2.63","3.29e-2","2.74e-3","2.18e-6"
"GOTERM_BP_DIRECT","protein phosphorylation","2.14%","48","2079","342","29712","7.26e-6","2.82e-3","2.01","3.60e-2","2.78e-3","3.31e-6"
"GOTERM_CC_DIRECT","Schaffer collateral - CA1 synapse","1.25%","28","2079","153","29722","7.47e-6","2.26e-4","2.62","6.75e-3","2.06e-4","2.48e-6"
"GOTERM_CC_DIRECT","centrosome","3.48%","78","2079","663","29722","8.50e-6","2.49e-4","1.68","7.68e-3","2.27e-4","4.57e-6"
"GOTERM_CC_DIRECT","postsynapse","2.41%","54","2079","406","29722","8.78e-6","2.49e-4","1.90","7.93e-3","2.27e-4","4.29e-6"
"GOTERM_MF_DIRECT","enzyme binding","2.68%","60","2060","464","28924","1.11e-5","7.34e-4","1.82","1.68e-2","6.96e-4","5.61e-6"
"GOTERM_MF_DIRECT","actin filament binding","1.61%","36","2060","226","28924","1.15e-5","7.34e-4","2.24","1.75e-2","6.96e-4","4.60e-6"
