"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","protein binding","24.19%","878","3069","5596","28924","8.53e-40","1.55e-36","1.48","1.55e-36","1.49e-36","5.44e-40"
"GOTERM_CC_DIRECT","cytosol","18.88%","685","3101","4363","29722","5.46e-32","5.77e-29","1.50","5.77e-29","5.26e-29","3.41e-32"
"GOTERM_CC_DIRECT","nucleus","23.56%","855","3101","6018","29722","1.18e-25","6.22e-23","1.36","1.24e-22","5.67e-23","8.28e-26"
"GOTERM_CC_DIRECT","nucleoplasm","15.18%","551","3101","3572","29722","1.97e-23","5.50e-21","1.48","2.09e-20","5.01e-21","1.26e-23"
"GOTERM_CC_DIRECT","glutamatergic synapse","5.24%","190","3101","869","29722","2.08e-23","5.50e-21","2.10","2.20e-20","5.01e-21","8.68e-24"
"GOTERM_CC_DIRECT","cytoplasm","24.44%","887","3101","6408","29722","4.11e-23","8.69e-21","1.33","4.34e-20","7.91e-21","2.98e-23"
"GOTERM_CC_DIRECT","postsynaptic density","2.54%","92","3101","337","29722","5.15e-18","9.07e-16","2.62","5.44e-15","8.26e-16","1.60e-18"
"GOTERM_MF_DIRECT","chromatin binding","3.44%","125","3069","561","28924","1.18e-15","1.07e-12","2.10","2.23e-12","1.03e-12","5.26e-16"
"GOTERM_MF_DIRECT","ATP binding","7.14%","259","3069","1543","28924","3.95e-14","2.40e-11","1.58","7.20e-11","2.29e-11","2.34e-14"
"GOTERM_BP_DIRECT","chromatin remodeling","3.69%","134","3093","671","29712","1.80e-13","1.06e-9","1.92","1.06e-9","1.05e-9","8.36e-14"
"GOTERM_CC_DIRECT","protein-containing complex","4.63%","168","3101","924","29722","7.99e-13","1.21e-10","1.74","8.45e-10","1.10e-10","4.18e-13"
"GOTERM_CC_DIRECT","perinuclear region of cytoplasm","4.22%","153","3101","854","29722","2.88e-11","3.80e-9","1.72","3.04e-8","3.46e-9","1.48e-11"
"GOTERM_MF_DIRECT","protein serine kinase activity","2.29%","83","3069","366","28924","3.96e-11","1.81e-8","2.14","7.22e-8","1.73e-8","1.62e-11"
"GOTERM_CC_DIRECT","dendrite","3.33%","121","3101","642","29722","1.65e-10","1.94e-8","1.81","1.75e-7","1.77e-8","8.17e-11"
"GOTERM_CC_DIRECT","synapse","3.64%","132","3101","724","29722","2.31e-10","2.44e-8","1.75","2.44e-7","2.22e-8","1.14e-10"
"GOTERM_MF_DIRECT","protein serine/threonine kinase activity","2.31%","84","3069","393","28924","6.62e-10","2.41e-7","2.01","1.21e-6","2.31e-7","2.87e-10"
"GOTERM_MF_DIRECT","GTPase activator activity","1.65%","60","3069","244","28924","1.00e-9","3.04e-7","2.32","1.82e-6","2.91e-7","3.62e-10"
"GOTERM_MF_DIRECT","transcription corepressor activity","1.43%","52","3069","199","28924","1.59e-9","4.14e-7","2.46","2.90e-6","3.96e-7","5.31e-10"
"GOTERM_BP_DIRECT","endocytosis","1.38%","50","3093","191","29712","1.69e-9","5.00e-6","2.51","1.00e-5","4.94e-6","5.52e-10"
"GOTERM_CC_DIRECT","Golgi apparatus","5.10%","185","3101","1149","29722","1.94e-9","1.78e-7","1.54","2.05e-6","1.62e-7","1.15e-9"
"GOTERM_CC_DIRECT","neuronal cell body","3.33%","121","3101","668","29722","2.02e-9","1.78e-7","1.74","2.13e-6","1.62e-7","1.04e-9"
"GOTERM_MF_DIRECT","protein kinase binding","2.98%","108","3069","569","28924","2.81e-9","6.40e-7","1.79","5.12e-6","6.12e-7","1.43e-9"
"GOTERM_CC_DIRECT","dendritic spine","1.49%","54","3101","220","29722","4.48e-9","3.64e-7","2.35","4.73e-6","3.32e-7","1.59e-9"
"GOTERM_BP_DIRECT","protein phosphorylation","2.01%","73","3093","342","29712","4.60e-9","9.05e-6","2.05","2.72e-5","8.96e-6","1.92e-9"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","5.48%","199","3093","1284","29712","8.11e-9","1.20e-5","1.49","4.79e-5","1.18e-5","5.09e-9"
"GOTERM_MF_DIRECT","SH3 domain binding","1.05%","38","3069","130","28924","1.35e-8","2.74e-6","2.75","2.47e-5","2.62e-6","3.88e-9"
"GOTERM_MF_DIRECT","RNA binding","3.83%","139","3069","816","28924","1.96e-8","3.58e-6","1.61","3.58e-5","3.42e-6","1.13e-8"
"GOTERM_MF_DIRECT","protein-containing complex binding","3.33%","121","3069","687","28924","2.67e-8","4.43e-6","1.66","4.87e-5","4.23e-6","1.49e-8"
"GOTERM_BP_DIRECT","negative regulation of transcription by RNA polymerase II","4.44%","161","3093","1005","29712","2.79e-8","3.30e-5","1.54","1.65e-4","3.26e-5","1.66e-8"
"GOTERM_CC_DIRECT","axon","2.65%","96","3101","516","29722","2.79e-8","2.11e-6","1.78","2.95e-5","1.92e-6","1.40e-8"
"GOTERM_MF_DIRECT","unfolded protein binding","0.83%","30","3069","92","28924","4.16e-8","6.32e-6","3.07","7.58e-5","6.04e-6","1.02e-8"
"GOTERM_CC_DIRECT","cytoplasmic stress granule","0.85%","31","3101","99","29722","4.56e-8","3.06e-6","3.00","4.82e-5","2.79e-6","1.17e-8"
"GOTERM_CC_DIRECT","neuron projection","2.01%","73","3101","360","29722","4.63e-8","3.06e-6","1.94","4.89e-5","2.79e-6","2.09e-8"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","3.61%","131","3093","782","29712","4.68e-8","4.60e-5","1.61","2.76e-4","4.55e-5","2.70e-8"
"GOTERM_MF_DIRECT","kinase activity","1.18%","43","3069","165","28924","5.21e-8","6.96e-6","2.46","9.50e-5","6.65e-6","1.74e-8"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","1.90%","69","3069","329","28924","5.43e-8","6.96e-6","1.98","9.90e-5","6.65e-6","2.40e-8"
"GOTERM_CC_DIRECT","chromatin","2.65%","96","3101","523","29722","5.46e-8","3.39e-6","1.76","5.77e-5","3.09e-6","2.78e-8"
"GOTERM_MF_DIRECT","transcription coactivator activity","1.68%","61","3069","277","28924","5.73e-8","6.96e-6","2.08","1.04e-4","6.65e-6","2.38e-8"
