Category,Term,P-Value,Fold Enrichment,FDR
GOTERM_BP_DIRECT,cytoplasmic translation,6.92e-20,5.6,3.17e-16
GOTERM_BP_DIRECT,translation,6.07e-14,3.12,1.39e-10
GOTERM_BP_DIRECT,ubiquitin-dependent protein catabolic process,1.88e-09,2.61,2.87e-06
GOTERM_BP_DIRECT,protein K48-linked ubiquitination,3.94e-08,3.53,4.51e-05
GOTERM_BP_DIRECT,chromatin remodeling,2.91e-07,1.73,0.000266
GOTERM_CC_DIRECT,cytosol,7.15e-49,1.61,6.13e-46
GOTERM_CC_DIRECT,nucleus,2.78e-45,1.54,1.1899999999999998e-42
GOTERM_CC_DIRECT,nucleoplasm,1.3899999999999998e-42,1.72,3.97e-40
GOTERM_CC_DIRECT,cytoplasm,5.050000000000001e-27,1.42,1.0799999999999999e-24
GOTERM_CC_DIRECT,cytosolic ribosome,1.79e-20,5.68,3.06e-18
GOTERM_MF_DIRECT,protein binding,3.0299999999999996e-42,1.2,4.6e-39
GOTERM_MF_DIRECT,RNA binding,7.920000000000001e-32,2.12,6.01e-29
GOTERM_MF_DIRECT,mRNA binding,1.63e-10,2.63,8.23e-08
GOTERM_MF_DIRECT,structural constituent of ribosome,2.22e-10,2.93,8.44e-08
GOTERM_MF_DIRECT,cadherin binding,1.46e-08,2.25,4.42e-06
