Category,Term,P-Value,Fold Enrichment,FDR
GOTERM_BP_DIRECT,cytoplasmic translation,1.35e-18,5.76,5.71e-15
GOTERM_BP_DIRECT,translation,8.18e-13,3.16,1.74e-09
GOTERM_BP_DIRECT,ubiquitin-dependent protein catabolic process,2e-09,2.72,2.82e-06
GOTERM_BP_DIRECT,chromatin remodeling,8.74e-09,1.88,9.28e-06
GOTERM_BP_DIRECT,protein export from nucleus,2.02e-07,5.9,0.000171
GOTERM_CC_DIRECT,cytosol,2.02e-47,1.64,1.69e-44
GOTERM_CC_DIRECT,nucleus,1.5799999999999997e-42,1.56,6.6e-40
GOTERM_CC_DIRECT,nucleoplasm,4.92e-42,1.76,1.37e-39
GOTERM_CC_DIRECT,cytoplasm,1.98e-24,1.42,4.14e-22
GOTERM_CC_DIRECT,cytosolic ribosome,2.92e-19,5.87,4.87e-17
GOTERM_MF_DIRECT,protein binding,1.04e-39,1.2,1.49e-36
GOTERM_MF_DIRECT,RNA binding,2.54e-28,2.11,1.8299999999999999e-25
GOTERM_MF_DIRECT,structural constituent of ribosome,4.56e-10,3.02,2.19e-07
GOTERM_MF_DIRECT,mRNA binding,1.28e-08,2.53,4.61e-06
GOTERM_MF_DIRECT,ubiquitin-protein transferase activity,7.49e-07,2.37,0.0002
