Category,Term,P-Value,Fold Enrichment,FDR
GOTERM_BP_DIRECT,chromatin remodeling,1.8e-13,1.92,1.05e-09
GOTERM_BP_DIRECT,endocytosis,1.69e-09,2.51,4.94e-06
GOTERM_BP_DIRECT,protein phosphorylation,4.6e-09,2.05,8.96e-06
GOTERM_BP_DIRECT,positive regulation of transcription by RNA polymerase II,8.11e-09,1.49,1.18e-05
GOTERM_BP_DIRECT,negative regulation of transcription by RNA polymerase II,2.79e-08,1.54,3.26e-05
GOTERM_CC_DIRECT,cytosol,5.46e-32,1.5,5.26e-29
GOTERM_CC_DIRECT,nucleus,1.1799999999999999e-25,1.36,5.669999999999999e-23
GOTERM_CC_DIRECT,nucleoplasm,1.9699999999999998e-23,1.48,5.01e-21
GOTERM_CC_DIRECT,glutamatergic synapse,2.0799999999999997e-23,2.1,5.01e-21
GOTERM_CC_DIRECT,cytoplasm,4.11e-23,1.33,7.910000000000001e-21
GOTERM_MF_DIRECT,protein binding,8.53e-40,1.48,1.49e-36
GOTERM_MF_DIRECT,chromatin binding,1.18e-15,2.1,1.03e-12
GOTERM_MF_DIRECT,ATP binding,3.95e-14,1.58,2.29e-11
GOTERM_MF_DIRECT,protein serine kinase activity,3.96e-11,2.14,1.73e-08
GOTERM_MF_DIRECT,protein serine/threonine kinase activity,6.62e-10,2.01,2.31e-07
