lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONHSAG000001,chr1,11868,14412,+,NONHSAG000001,DDX11L1
lNONHSAG000002,chr1,14406,29370,-,NONHSAG000002,DDX11L1
lNONHSAG000004,chr1,34553,36081,-,NONHSAG000004,FAM138A
lNONHSAG000008,chr1,89294,297502,-,NONHSAG000008,DDX11L1;AP006222.2
lNONHSAG000010,chr1,131024,134836,+,NONHSAG000010,CICP27
lNONHSAG000011,chr1,131336,140566,-,NONHSAG000011,RP11-34P13.15
lNONHSAG000012,chr1,141473,173862,-,NONHSAG000012,RP11-34P13.13
lNONHSAG000014,chr1,160445,161525,+,NONHSAG000014,RP11-34P13.9
lNONHSAG000017,chr1,365388,501617,-,NONHSAG000017,RP4-669L17.10
lNONHSAG000018,chr1,487100,489906,+,NONHSAG000018,CICP7
lNONHSAG000027,chr1,587628,597498,+,NONHSAG000027,RP5-857K21.2
lNONHSAG000031,chr1,629061,629433,+,NONHSAG000031,MTND1P23
lNONHSAG000032,chr1,629081,633963,-,NONHSAG000032,NONHSAG000032
lNONHSAG000033,chr1,629639,630683,+,NONHSAG000033,MTND2P28
lNONHSAG000035,chr1,632769,633463,+,NONHSAG000035,RP5-857K21.7
lNONHSAG000036,chr1,633534,634924,+,NONHSAG000036,MTATP8P1
lNONHSAG000038,chr1,722091,724903,+,NONHSAG000038,CICP3
lNONHSAG000039,chr1,725758,768489,-,NONHSAG000039,RP11-206L10.1
lNONHSAG000041,chr1,759031,778688,-,NONHSAG000041,RP11-206L10.5
lNONHSAG000042,chr1,760910,761989,+,NONHSAG000042,RP11-206L10.4
lNONHSAG000044,chr1,778769,810061,+,NONHSAG000044,RP11-206L10.9
lNONHSAG000046,chr1,585988,828159,-,NONHSAG000046,RP11-206L10.8;LINC00115
lNONHSAG000047,chr1,817370,859572,+,NONHSAG000047,FAM87B;LINC01128
lNONHSAG000049,chr1,819826,823747,-,NONHSAG000049,NONHSAG000049
lNONHSAG000050,chr1,820675,823595,+,NONHSAG000050,NONHSAG000050
lNONHSAG000053,chr1,868070,876903,-,NONHSAG000053,FAM41C
lNONHSAG000059,chr1,914887,925604,-,NONHSAG000059,NONHSAG000059;RP11-54O7.3
lNONHSAG000061,chr1,944203,959299,-,NONHSAG000061,NONHSAG000061
lNONHSAG000065,chr1,995531,997905,+,NONHSAG000065,NONHSAG000065
lNONHSAG000066,chr1,1011996,1013193,-,NONHSAG000066,RP11-54O7.11
lNONHSAG000069,chr1,1055032,1056116,+,NONHSAG000069,RP11-54O7.14
lNONHSAG000070,chr1,1059702,1066652,+,NONHSAG000070,RP11-465B22.3
lNONHSAG000071,chr1,1065634,1069323,-,NONHSAG000071,NONHSAG000071
lNONHSAG000072,chr1,1081817,1116356,-,NONHSAG000072,C1orf159
lNONHSAG000073,chr1,1107164,1110137,-,NONHSAG000073,NONHSAG000073
lNONHSAG000074,chr1,1137016,1144057,+,NONHSAG000074,RP11-465B22.5;LINC01342
