NONHSAG000001 DDX11L1
NONHSAG000008 NONHSAG000011
NONHSAG000008 ENSG00000239906
NONHSAG000008 RP11-34P13.14
NONHSAG000008 NONHSAG057398
NONHSAG000008 ENSG00000228463
NONHSAG000008 NONHSAG000012
NONHSAG000008 ENSG00000241860
NONHSAG000008 ENSG00000238009
NONHSAG000011 ENSG00000239906
NONHSAG000011 RP11-34P13.14
NONHSAG000011 NONHSAG000008
NONHSAG000011 ENSG00000241860
NONHSAG000012 NONHSAG000008
NONHSAG000012 ENSG00000241860
NONHSAG000018 CICP7
NONHSAG000027 ENSG00000235146
NONHSAG000032 NONHSAG000046
NONHSAG000032 LINC00115
NONHSAG000039 ENSG00000235373
NONHSAG000039 RP11-206L10.3
NONHSAG000039 NONHSAG000046
NONHSAG000039 LINC00115
NONHSAG000041 NONHSAG000046
NONHSAG000041 LINC00115
NONHSAG000044 ENSG00000237491
NONHSAG000046 RP5-857K21.1
NONHSAG000046 NONHSAG000032
NONHSAG000046 RP5-857K21.5
NONHSAG000046 ENSG00000235373
NONHSAG000046 RP11-206L10.3
NONHSAG000046 RP11-206L10.10
NONHSAG000046 NONHSAG000049
NONHSAG000046 NONHSAG000039
NONHSAG000046 NONHSAG000041
NONHSAG000046 LINC00115
NONHSAG000047 NONHSAG000050
NONHSAG000049 NONHSAG000046
NONHSAG000049 LINC00115
NONHSAG000050 NONHSAG000047
NONHSAG000052 ENSG00000288531
NONHSAG000059 ENSG00000223764
NONHSAG000059 RP11-54O7.3
NONHSAG000066 ENSG00000224969
NONHSAG000069 ENSG00000242590
NONHSAG000069 AGRN
NONHSAG000072 NONHSAG000073
NONHSAG000073 NONHSAG000072
NONHSAG000076 ENSG00000205231
NONHSAG000082 ENSG00000260179
NONHSAG000084 ENSG00000230415
NONHSAG000091 ENSG00000240731
NONHSAG000091 CPSF3L
NONHSAG000101 ENSG00000224870
NONHSAG000102 NONHSAG000103
NONHSAG000103 NONHSAG000102
NONHSAG000104 ENSG00000272455
NONHSAG000108 ENSG00000225905
NONHSAG000114 ENSG00000215014
NONHSAG000117 ENSG00000272106
NONHSAG000125 SLC35E2
NONHSAG000125 ENSG00000268575
NONHSAG000125 RP1-283E3.8
NONHSAG000130 ENSG00000231050
NONHSAG000136 ENSG00000226969
NONHSAG000139 ENSG00000182873
NONHSAG000143 ENSG00000234396
NONHSAG000147 ENSG00000287356
NONHSAG000148 MORN1
NONHSAG000149 MORN1
NONHSAG000153 RER1
NONHSAG000159 ENSG00000229393
NONHSAG000166 ENSG00000225931
NONHSAG000166 RP3-395M20.9
NONHSAG000173 ENSG00000237058
NONHSAG000175 ENSG00000285945
NONHSAG000179 ENSG00000287396
