lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONMMUG000008,chr1,3466586,3513553,+,NONMMUG000008,Gm1992
lNONMMUG000026,chr1,4857266,4858363,-,NONMMUG000026,NONMMUG000026
lNONMMUG000040,chr1,6209865,6215293,-,NONMMUG000040,4732440D04Rik
lNONMMUG000058,chr1,7314636,7397878,-,NONMMUG000058,AC103380.1
lNONMMUG000072,chr1,9451453,10377289,-,NONMMUG000072,NONMMUG000072
lNONMMUG000077,chr1,9747647,9791924,+,NONMMUG000077,AC158928.1
lNONMMUG000083,chr1,9908811,9944186,-,NONMMUG000083,Snhg6
lNONMMUG000100,chr1,10362296,11716147,+,NONMMUG000100,NONMMUG000100
lNONMMUG000133,chr1,13846572,14063735,+,NONMMUG000133,RPI002_008271
lNONMMUG000142,chr1,14752936,14777254,+,NONMMUG000142,NONMMUG000142
lNONMMUG000162,chr1,16253592,16267946,+,NONMMUG000162,Gm7568
lNONMMUG000167,chr1,16568673,16619338,-,NONMMUG000167,Ube2w
lNONMMUG000171,chr1,16618559,16648960,+,NONMMUG000171,NONMMUG000171
lNONMMUG000186,chr1,17676026,17727647,-,NONMMUG000186,Gm16070
lNONMMUG000187,chr1,17938191,18059056,-,NONMMUG000187,NONMMUG000187
lNONMMUG000191,chr1,19063298,19104840,-,NONMMUG000191,Gm15825
lNONMMUG000233,chr1,21959841,21962531,+,NONMMUG000233,AC125483.1
lNONMMUG000235,chr1,22338795,22340578,-,NONMMUG000235,NONMMUG000235
lNONMMUG000266,chr1,24586580,24587739,+,NONMMUG000266,NONMMUG000266
lNONMMUG000282,chr1,25314275,25317708,-,NONMMUG000282,NONMMUG000282
lNONMMUG000297,chr1,26616948,26881593,+,NONMMUG000297,NONMMUG000297
lNONMMUG000303,chr1,28622987,29081192,+,NONMMUG000303,NONMMUG000303
lNONMMUG000387,chr1,36369267,36391534,-,NONMMUG000387,NONMMUG000387
lNONMMUG000391,chr1,36473951,36476110,+,NONMMUG000391,NONMMUG000391
lNONMMUG000394,chr1,36514250,36515794,+,NONMMUG000394,NONMMUG000394
lNONMMUG000397,chr1,36540270,36546709,+,NONMMUG000397,NONMMUG000397
lNONMMUG000398,chr1,36557700,36565614,+,NONMMUG000398,D430040D24Rik
lNONMMUG000405,chr1,36710202,36723399,+,NONMMUG000405,NONMMUG000405
lNONMMUG000431,chr1,37865298,37871389,+,NONMMUG000431,AC119189.1
lNONMMUG000471,chr1,39547569,39555539,-,NONMMUG000471,Gm15832
lNONMMUG000474,chr1,39650175,39663416,+,NONMMUG000474,AC119809.1
lNONMMUG000483,chr1,40028765,40085854,-,NONMMUG000483,AC161534.1
lNONMMUG000501,chr1,41781807,41939560,+,NONMMUG000501,NONMMUG000501
lNONMMUG000502,chr1,42261566,42306672,+,NONMMUG000502,NONMMUG000502
lNONMMUG000504,chr1,42587013,42694842,-,NONMMUG000504,2610017I09Rik
lNONMMUG000506,chr1,42692936,42703539,+,NONMMUG000506,NONMMUG000506
lNONMMUG000507,chr1,42694742,42746633,+,NONMMUG000507,Gm20646
lNONMMUG000508,chr1,42707071,42713708,-,NONMMUG000508,RP23-71K9.4
lNONMMUG000515,chr1,43125328,43128243,-,NONMMUG000515,NONMMUG000515
lNONMMUG000518,chr1,43196981,43216593,+,NONMMUG000518,NONMMUG000518
lNONMMUG000539,chr1,44553093,44557043,+,NONMMUG000539,NONMMUG000539
lNONMMUG000541,chr1,44572904,44575357,+,NONMMUG000541,NONMMUG000541
lNONMMUG000575,chr1,51218385,51333932,-,NONMMUG000575,9330175M20Rik
lNONMMUG000634,chr1,54681708,54767524,+,NONMMUG000634,NONMMUG000634
lNONMMUG000638,chr1,55052870,55053668,+,NONMMUG000638,NONMMUG000638
lNONMMUG000646,chr1,55226080,55235623,+,NONMMUG000646,AC122223.1
lNONMMUG000668,chr1,56971411,57050084,+,NONMMUG000668,9130024F11Rik
lNONMMUG000671,chr1,57200644,57214996,-,NONMMUG000671,NONMMUG000671
lNONMMUG000674,chr1,57331647,57382094,-,NONMMUG000674,AC161493.1
lNONMMUG000679,chr1,57909834,57917111,-,NONMMUG000679,Gm17234
lNONMMUG000687,chr1,58254116,58315657,-,NONMMUG000687,Gm15759
lNONMMUG000690,chr1,58358909,58393329,-,NONMMUG000690,NONMMUG000690
lNONMMUG000732,chr1,59639445,59670798,-,NONMMUG000732,Sumo1
lNONMMUG000737,chr1,59762214,59764271,-,NONMMUG000737,NONMMUG000737
lNONMMUG000741,chr1,59886968,60786856,-,NONMMUG000741,NONMMUG000741
lNONMMUG000745,chr1,60038910,60103623,+,NONMMUG000745,NONMMUG000745
lNONMMUG000770,chr1,60564805,60565759,-,NONMMUG000770,NONMMUG000770
lNONMMUG000778,chr1,60778842,60803790,+,NONMMUG000778,2310016D23Rik
lNONMMUG000781,chr1,60811091,60881738,+,NONMMUG000781,NONMMUG000781
