"Noncode_id","Lncbook_id","UID","target","gene_name","ensembl_id","num_id","PMID","NCBI_id","reason_summary","Organism","Alias","chr","start","end","strand","cancer_related","disease_related","vivo","vitro"
"NONHSAG036403.3","HSALNG0029842","ELH001837","AADACL2-AS1","AADACL2-AS1","ENSG00000242908.7","1","30395134","101928142","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr3","151751443","151928175","-","0","0","0","1"
"NONHSAG025609.2","HSALNG0125667","ELH001343","AC002398.13","N.A.","ENSG00000267049.1","2","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr19","35769144","35771028","-","0","0","0","1"
"NONHSAG033352.2","HSALNG0134198","ELH001742","AC002472.11","N.A.","ENSG00000226872.2","3","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","21031357","21043969","+","0","0","0","1"
"NONHSAG046953.2","HSALNG0056188","ELH002236","AC004160.4","N.A.","ENSG00000230435.1","4","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","11406955","11414078","+","0","0","0","1"
"NONHSAG033266.3","HSALNG0134004","ELH001733","AC004463.6","LINC01311","ENSG00000260924.4","5","27798563","N.A.","[CRISPR delete] Verified by the CRISPR delete experiment. ","Human","N.A.","chr22","19171395","19172839","+","0","0","0","1"
"NONHSAG083883.1","HSALNG0133998","ELH001732","AC004471.10","N.A.","ENSG00000272682.2","6","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","19124309","19128449","-","0","0","0","1"
"NONHSAG033263.2","HSALNG0133997","ELH001731","AC004471.9","N.A.","ENSG00000223461.2","7","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr22","19121529","19124503","+","0","0","0","1"
"NONHSAG113462.1","N.A.","ELH002291","AC004840.8","N.A.","ENSG00000293436.1","8","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","2384121","2388597","+","0","0","0","1"
"NONHSAG048302.2","HSALNG0059854","ELH002370","AC004893.11","N.A.","N.A.","9","30395134","101927550","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr7","99013165","99048240","+","0","0","0","1"
"NONHSAG031025.2","HSALNG0023672","ELH001549","AC005104.3","N.A.","ENSG00000223374.1","10","30395134","N.A.","[CRISPR splice] Verified by the CRISPR splice experiment. ","Human","N.A.","chr2","241351340","241353104","-","0","0","0","1"
