lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONMMUG000010,chr1,3592891,3595903,-,NONMMUG000010,NONMMUG000010
lNONMMUG000024,chr1,4785777,4786630,+,NONMMUG000024,NONMMUG000024
lNONMMUG000026,chr1,4857266,4858363,-,NONMMUG000026,NONMMUG000026
lNONMMUG000040,chr1,6209865,6215293,-,NONMMUG000040,4732440D04Rik
lNONMMUG000046,chr1,6405989,6417397,-,NONMMUG000046,NONMMUG000046
lNONMMUG000047,chr1,6735249,6738187,+,NONMMUG000047,St18
lNONMMUG000053,chr1,7089168,7090204,+,NONMMUG000053,Pcmtd1
lNONMMUG000071,chr1,9286921,9290180,+,NONMMUG000071,NONMMUG000071
lNONMMUG000072,chr1,9451453,10377289,-,NONMMUG000072,NONMMUG000072
lNONMMUG000077,chr1,9747647,9791924,+,NONMMUG000077,AC158928.1
lNONMMUG000083,chr1,9908811,9944186,-,NONMMUG000083,Snhg6
lNONMMUG000100,chr1,10362296,11716147,+,NONMMUG000100,NONMMUG000100
lNONMMUG000110,chr1,11384070,11386953,-,NONMMUG000110,RPI002_012929
lNONMMUG000117,chr1,12743780,12746074,+,NONMMUG000117,RPI002_013992
lNONMMUG000132,chr1,13641482,13642748,-,NONMMUG000132,NONMMUG000132
lNONMMUG000133,chr1,13846572,14063735,+,NONMMUG000133,RPI002_008271
lNONMMUG000142,chr1,14752936,14777254,+,NONMMUG000142,NONMMUG000142
lNONMMUG000155,chr1,15847422,15848567,+,NONMMUG000155,NONMMUG000155
lNONMMUG000167,chr1,16568673,16619338,-,NONMMUG000167,Ube2w
lNONMMUG000171,chr1,16618559,16648960,+,NONMMUG000171,NONMMUG000171
lNONMMUG000182,chr1,17098638,17100792,+,NONMMUG000182,NONMMUG000182
lNONMMUG000185,chr1,17615083,17641315,-,NONMMUG000185,NONMMUG000185
lNONMMUG000186,chr1,17676026,17727647,-,NONMMUG000186,Gm16070
lNONMMUG000187,chr1,17938191,18059056,-,NONMMUG000187,NONMMUG000187
