lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONHSAG000002,chr1,14406,29370,-,NONHSAG000002,DDX11L1
lNONHSAG000008,chr1,89294,297502,-,NONHSAG000008,DDX11L1;AP006222.2
lNONHSAG000012,chr1,141473,173862,-,NONHSAG000012,RP11-34P13.13
lNONHSAG000014,chr1,160445,161525,+,NONHSAG000014,RP11-34P13.9
lNONHSAG000017,chr1,365388,501617,-,NONHSAG000017,RP4-669L17.10
lNONHSAG000027,chr1,587628,597498,+,NONHSAG000027,RP5-857K21.2
lNONHSAG000036,chr1,633534,634924,+,NONHSAG000036,MTATP8P1
lNONHSAG000039,chr1,725758,768489,-,NONHSAG000039,RP11-206L10.1
lNONHSAG000041,chr1,759031,778688,-,NONHSAG000041,RP11-206L10.5
lNONHSAG000042,chr1,760910,761989,+,NONHSAG000042,RP11-206L10.4
lNONHSAG000044,chr1,778769,810061,+,NONHSAG000044,RP11-206L10.9
lNONHSAG000046,chr1,585988,828159,-,NONHSAG000046,RP11-206L10.8;LINC00115
lNONHSAG000047,chr1,817370,859572,+,NONHSAG000047,FAM87B;LINC01128
lNONHSAG000049,chr1,819826,823747,-,NONHSAG000049,NONHSAG000049
lNONHSAG000053,chr1,868070,876903,-,NONHSAG000053,FAM41C
lNONHSAG000059,chr1,914887,925604,-,NONHSAG000059,NONHSAG000059;RP11-54O7.3
lNONHSAG000061,chr1,944203,959299,-,NONHSAG000061,NONHSAG000061
lNONHSAG000065,chr1,995531,997905,+,NONHSAG000065,NONHSAG000065
lNONHSAG000066,chr1,1011996,1013193,-,NONHSAG000066,RP11-54O7.11
lNONHSAG000069,chr1,1055032,1056116,+,NONHSAG000069,RP11-54O7.14
lNONHSAG000070,chr1,1059702,1066652,+,NONHSAG000070,RP11-465B22.3
lNONHSAG000071,chr1,1065634,1069323,-,NONHSAG000071,NONHSAG000071
lNONHSAG000072,chr1,1081817,1116356,-,NONHSAG000072,C1orf159
lNONHSAG000073,chr1,1107164,1110137,-,NONHSAG000073,NONHSAG000073
lNONHSAG000074,chr1,1137016,1144057,+,NONHSAG000074,RP11-465B22.5;LINC01342
lNONHSAG000076,chr1,1173055,1179555,-,NONHSAG000076,TTLL10-AS1
lNONHSAG000079,chr1,1211350,1212087,-,NONHSAG000079,TNFRSF4
lNONHSAG000082,chr1,1249776,1251455,-,NONHSAG000082,RP5-902P8.12
lNONHSAG000084,chr1,1274958,1280420,+,NONHSAG000084,RP5-902P8.10
lNONHSAG000092,chr1,1352691,1358547,-,NONHSAG000092,NONHSAG000092
lNONHSAG000096,chr1,1374706,1375172,-,NONHSAG000096,AURKAIP1
lNONHSAG000098,chr1,1382131,1382888,-,NONHSAG000098,NONHSAG000098
lNONHSAG000100,chr1,1386503,1390255,-,NONHSAG000100,CCNL2
lNONHSAG000101,chr1,1399521,1402046,+,NONHSAG000101,LOC148413
lNONHSAG000102,chr1,1401909,1407167,-,NONHSAG000102,MRPL20
lNONHSAG000103,chr1,1405460,1405752,-,NONHSAG000103,RN7SL657P
lNONHSAG000104,chr1,1407314,1410854,+,NONHSAG000104,NONHSAG000104
lNONHSAG000108,chr1,1420165,1426978,+,NONHSAG000108,RP4-758J18.7
lNONHSAG000110,chr1,1428121,1430255,+,NONHSAG000110,NONHSAG000110
lNONHSAG000111,chr1,1428121,1434574,-,NONHSAG000111,RP4-758J18.10;LINC01770
lNONHSAG000113,chr1,1562345,1564524,-,NONHSAG000113,AL645728.2
lNONHSAG000114,chr1,1574974,1577075,+,NONHSAG000114,RPI002_004666
lNONHSAG000117,chr1,1611896,1616171,-,NONHSAG000117,NONHSAG000117
lNONHSAG000118,chr1,1615539,1617308,+,NONHSAG000118,MIB2
lNONHSAG000121,chr1,1671989,1674397,+,NONHSAG000121,SLC35E2B;RP11-345P4.7
lNONHSAG000124,chr1,1724511,1737251,+,NONHSAG000124,RP1-283E3.4
lNONHSAG000125,chr1,1727385,1731226,-,NONHSAG000125,NONHSAG000125
lNONHSAG000130,chr1,1891189,1897138,+,NONHSAG000130,RP1-140A9.1
lNONHSAG000136,chr1,2049072,2050169,-,NONHSAG000136,RP11-547D24.3
lNONHSAG000139,chr1,2181793,2184389,-,NONHSAG000139,RP11-181G12.2
lNONHSAG000140,chr1,2189549,2194775,-,NONHSAG000140,C1orf86
lNONHSAG000143,chr1,2212522,2220738,+,NONHSAG000143,RP11-181G12.4
lNONHSAG000149,chr1,2350413,2352820,-,NONHSAG000149,RP4-740C4.6
lNONHSAG000150,chr1,2385371,2388483,+,NONHSAG000150,AL513477.1
lNONHSAG000153,chr1,2400902,2403749,+,NONHSAG000153,RER1
lNONHSAG000154,chr1,2408634,2410873,-,NONHSAG000154,PEX10
lNONHSAG000156,chr1,2414849,2430651,+,NONHSAG000156,NONHSAG000156
lNONHSAG000157,chr1,2446840,2454457,-,NONHSAG000157,NONHSAG000157
lNONHSAG000159,chr1,2493436,2494479,-,NONHSAG000159,RP3-395M20.3
lNONHSAG000166,chr1,2566409,2584534,+,NONHSAG000166,RP3-395M20.7
lNONHSAG000173,chr1,2632567,2636894,+,NONHSAG000173,RP13-436F16.1
lNONHSAG000175,chr1,2777192,2778821,+,NONHSAG000175,NONHSAG000175
lNONHSAG000178,chr1,2811849,2812692,-,NONHSAG000178,RP11-740P5.2
lNONHSAG000179,chr1,2814065,2817757,+,NONHSAG000179,NONHSAG000179
lNONHSAG000181,chr1,3055438,3070489,-,NONHSAG000181,LINC00982
lNONHSAG000183,chr1,3210770,3213793,-,NONHSAG000183,NONHSAG000183
lNONHSAG000187,chr1,3432646,3434220,-,NONHSAG000187,NONHSAG000187
lNONHSAG000188,chr1,3479845,3481111,+,NONHSAG000188,ARHGEF16
lNONHSAG000190,chr1,3622038,3624779,-,NONHSAG000190,RP11-46F15.2
lNONHSAG000192,chr1,3658937,3668773,-,NONHSAG000192,RP5-1092A11.5
lNONHSAG000194,chr1,3712199,3714299,-,NONHSAG000194,RP5-1092A11.2
lNONHSAG000195,chr1,3734285,3747375,-,NONHSAG000195,TP73-AS1
lNONHSAG000199,chr1,3890263,3920041,+,NONHSAG000199,RP13-15E13.1;LINC01134;linc01134
lNONHSAG000202,chr1,3944546,3948981,-,NONHSAG000202,RP13-614K11.2
lNONHSAG000203,chr1,3976128,4009691,+,NONHSAG000203,NONHSAG000203
lNONHSAG000207,chr1,4412026,4424689,+,NONHSAG000207,RP5-1166F10.1;LINC01777
lNONHSAG000210,chr1,4551734,4552145,-,NONHSAG000210,RP1-37J18.1
lNONHSAG000215,chr1,4787497,4792536,+,NONHSAG000215,NONHSAG000215
lNONHSAG000217,chr1,4997996,5020838,+,NONHSAG000217,NONHSAG000217
lNONHSAG000228,chr1,6181206,6181991,+,NONHSAG000228,NONHSAG000228
lNONHSAG000230,chr1,6200492,6209560,-,NONHSAG000230,NONHSAG000230
lNONHSAG000231,chr1,6204839,6206286,-,NONHSAG000231,RP1-120G22.11
lNONHSAG000233,chr1,6216567,6222941,+,NONHSAG000233,RNF207
lNONHSAG000236,chr1,6251339,6254026,-,NONHSAG000236,NONHSAG000236
lNONHSAG000238,chr1,6395216,6401385,-,NONHSAG000238,NONHSAG000238
lNONHSAG000241,chr1,6443033,6447006,-,NONHSAG000241,RP1-202O8.2
lNONHSAG000246,chr1,6547904,6548619,+,NONHSAG000246,RP11-58A11.2
lNONHSAG000253,chr1,6724635,6730013,+,NONHSAG000253,RP11-242F24.1
lNONHSAG000254,chr1,6782262,6784843,+,NONHSAG000254,NONHSAG000254
lNONHSAG000255,chr1,6781088,6784982,-,NONHSAG000255,RP11-312B8.1
lNONHSAG000256,chr1,6785512,6872010,+,NONHSAG000256,CAMTA1
lNONHSAG000259,chr1,7092726,7094456,+,NONHSAG000259,NONHSAG000259
lNONHSAG000261,chr1,7368941,7370270,+,NONHSAG000261,CAMTA1-IT1
lNONHSAG000262,chr1,7382486,7389935,-,NONHSAG000262,RP3-453P22.2
lNONHSAG000270,chr1,7685382,7704895,-,NONHSAG000270,RP11-338N10.2
lNONHSAG000271,chr1,7776382,7776775,+,NONHSAG000271,RP3-467L1.6
lNONHSAG000272,chr1,7771334,7781431,+,NONHSAG000272,VAMP3
lNONHSAG000273,chr1,7784332,7785906,+,NONHSAG000273,PER3
lNONHSAG000275,chr1,7800860,7827342,-,NONHSAG000275,RP3-467L1.4
lNONHSAG000279,chr1,8002728,8007469,-,NONHSAG000279,NONHSAG000279
lNONHSAG000284,chr1,8189823,8192770,+,NONHSAG000284,RP11-431K24.2
lNONHSAG000286,chr1,8218189,8220529,-,NONHSAG000286,RP11-431K24.4
lNONHSAG000292,chr1,8423457,8435016,+,NONHSAG000292,RP5-1115A15.1
lNONHSAG000296,chr1,8656081,8817643,-,NONHSAG000296,NONHSAG000296
lNONHSAG000297,chr1,8798474,8799506,+,NONHSAG000297,RP4-633I8.3
lNONHSAG000298,chr1,8805859,8807051,+,NONHSAG000298,RP4-633I8.4
lNONHSAG000301,chr1,8875787,8878007,-,NONHSAG000301,ENO1-IT1
lNONHSAG000302,chr1,8878834,8885966,+,NONHSAG000302,ENO1-AS1
lNONHSAG000306,chr1,9041841,9057545,-,NONHSAG000306,NONHSAG000306
lNONHSAG000310,chr1,9148396,9202619,-,NONHSAG000310,RP3-510D11.1
lNONHSAG000311,chr1,9181549,9198866,+,NONHSAG000311,RP3-510D11.2
lNONHSAG000315,chr1,9414562,9439115,-,NONHSAG000315,NONHSAG000315
lNONHSAG000318,chr1,9500749,9503475,-,NONHSAG000318,RP13-392I16.1
lNONHSAG000320,chr1,9616714,9622313,+,NONHSAG000320,NONHSAG000320
lNONHSAG000322,chr1,9672401,9689418,-,NONHSAG000322,RP11-558F24.4;PIK3CD-AS2
lNONHSAG000324,chr1,9734072,9736018,-,NONHSAG000324,NONHSAG000324
lNONHSAG000327,chr1,9848282,9850802,+,NONHSAG000327,RP11-84A14.5
lNONHSAG000331,chr1,9942922,9949975,+,NONHSAG000331,RP11-84A14.4
lNONHSAG000335,chr1,9983140,9984568,+,NONHSAG000335,RP11-807G9.2
lNONHSAG000340,chr1,10306464,10306755,+,NONHSAG000340,RN7SL731P
lNONHSAG000344,chr1,10430766,10442503,+,NONHSAG000344,APITD1
lNONHSAG000345,chr1,10456545,10460036,+,NONHSAG000345,RP5-1113E3.3
lNONHSAG000346,chr1,10474945,10578427,+,NONHSAG000346,PEX14
lNONHSAG000355,chr1,11060205,11066270,+,NONHSAG000355,NONHSAG000355
lNONHSAG000357,chr1,11068470,11073098,+,NONHSAG000357,RP4-635E18.7
lNONHSAG000360,chr1,11099429,11102101,+,NONHSAG000360,RP4-635E18.6
lNONHSAG000361,chr1,11143702,11149538,+,NONHSAG000361,MTOR-AS1
lNONHSAG000367,chr1,11372704,11378687,+,NONHSAG000367,NONHSAG000367
lNONHSAG000374,chr1,11609530,11613356,+,NONHSAG000374,RP1-69M21.2
lNONHSAG000379,chr1,11726410,11731863,-,NONHSAG000379,NONHSAG000379
