lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONHSAG000008,chr1,89294,297502,-,NONHSAG000008,DDX11L1;AP006222.2
lNONHSAG000011,chr1,131336,140566,-,NONHSAG000011,RP11-34P13.15
lNONHSAG000017,chr1,365388,501617,-,NONHSAG000017,RP4-669L17.10
lNONHSAG000027,chr1,587628,597498,+,NONHSAG000027,RP5-857K21.2
lNONHSAG000032,chr1,629081,633963,-,NONHSAG000032,NONHSAG000032
lNONHSAG000041,chr1,759031,778688,-,NONHSAG000041,RP11-206L10.5
lNONHSAG000044,chr1,778769,810061,+,NONHSAG000044,RP11-206L10.9
lNONHSAG000046,chr1,585988,828159,-,NONHSAG000046,RP11-206L10.8;LINC00115
lNONHSAG000047,chr1,817370,859572,+,NONHSAG000047,FAM87B;LINC01128
lNONHSAG000049,chr1,819826,823747,-,NONHSAG000049,NONHSAG000049
lNONHSAG000050,chr1,820675,823595,+,NONHSAG000050,NONHSAG000050
lNONHSAG000059,chr1,914887,925604,-,NONHSAG000059,NONHSAG000059;RP11-54O7.3
lNONHSAG000061,chr1,944203,959299,-,NONHSAG000061,NONHSAG000061
lNONHSAG000065,chr1,995531,997905,+,NONHSAG000065,NONHSAG000065
lNONHSAG000069,chr1,1055032,1056116,+,NONHSAG000069,RP11-54O7.14
lNONHSAG000070,chr1,1059702,1066652,+,NONHSAG000070,RP11-465B22.3
lNONHSAG000071,chr1,1065634,1069323,-,NONHSAG000071,NONHSAG000071
lNONHSAG000072,chr1,1081817,1116356,-,NONHSAG000072,C1orf159
lNONHSAG000073,chr1,1107164,1110137,-,NONHSAG000073,NONHSAG000073
lNONHSAG000074,chr1,1137016,1144057,+,NONHSAG000074,RP11-465B22.5;LINC01342
lNONHSAG000081,chr1,1242445,1244276,-,NONHSAG000081,FAM132A
lNONHSAG000082,chr1,1249776,1251455,-,NONHSAG000082,RP5-902P8.12
lNONHSAG000084,chr1,1274958,1280420,+,NONHSAG000084,RP5-902P8.10
lNONHSAG000092,chr1,1352691,1358547,-,NONHSAG000092,NONHSAG000092
lNONHSAG000096,chr1,1374706,1375172,-,NONHSAG000096,AURKAIP1
lNONHSAG000098,chr1,1382131,1382888,-,NONHSAG000098,NONHSAG000098
lNONHSAG000101,chr1,1399521,1402046,+,NONHSAG000101,LOC148413
lNONHSAG000102,chr1,1401909,1407167,-,NONHSAG000102,MRPL20
lNONHSAG000104,chr1,1407314,1410854,+,NONHSAG000104,NONHSAG000104
lNONHSAG000108,chr1,1420165,1426978,+,NONHSAG000108,RP4-758J18.7
lNONHSAG000110,chr1,1428121,1430255,+,NONHSAG000110,NONHSAG000110
lNONHSAG000111,chr1,1428121,1434574,-,NONHSAG000111,RP4-758J18.10;LINC01770
lNONHSAG000113,chr1,1562345,1564524,-,NONHSAG000113,AL645728.2
lNONHSAG000117,chr1,1611896,1616171,-,NONHSAG000117,NONHSAG000117
lNONHSAG000118,chr1,1615539,1617308,+,NONHSAG000118,MIB2
lNONHSAG000124,chr1,1724511,1737251,+,NONHSAG000124,RP1-283E3.4
lNONHSAG000125,chr1,1727385,1731226,-,NONHSAG000125,NONHSAG000125
lNONHSAG000130,chr1,1891189,1897138,+,NONHSAG000130,RP1-140A9.1
lNONHSAG000140,chr1,2189549,2194775,-,NONHSAG000140,C1orf86
lNONHSAG000149,chr1,2350413,2352820,-,NONHSAG000149,RP4-740C4.6
lNONHSAG000150,chr1,2385371,2388483,+,NONHSAG000150,AL513477.1
lNONHSAG000153,chr1,2400902,2403749,+,NONHSAG000153,RER1
lNONHSAG000154,chr1,2408634,2410873,-,NONHSAG000154,PEX10
lNONHSAG000156,chr1,2414849,2430651,+,NONHSAG000156,NONHSAG000156
lNONHSAG000157,chr1,2446840,2454457,-,NONHSAG000157,NONHSAG000157
lNONHSAG000159,chr1,2493436,2494479,-,NONHSAG000159,RP3-395M20.3
lNONHSAG000163,chr1,2549919,2557032,-,NONHSAG000163,RP3-395M20.8;TNFRSF14-AS1
lNONHSAG000166,chr1,2566409,2584534,+,NONHSAG000166,RP3-395M20.7
lNONHSAG000181,chr1,3055438,3070489,-,NONHSAG000181,LINC00982
lNONHSAG000183,chr1,3210770,3213793,-,NONHSAG000183,NONHSAG000183
lNONHSAG000187,chr1,3432646,3434220,-,NONHSAG000187,NONHSAG000187
lNONHSAG000190,chr1,3622038,3624779,-,NONHSAG000190,RP11-46F15.2
lNONHSAG000194,chr1,3712199,3714299,-,NONHSAG000194,RP5-1092A11.2
lNONHSAG000195,chr1,3734285,3747375,-,NONHSAG000195,TP73-AS1
lNONHSAG000199,chr1,3890263,3920041,+,NONHSAG000199,RP13-15E13.1;LINC01134;linc01134
lNONHSAG000202,chr1,3944546,3948981,-,NONHSAG000202,RP13-614K11.2
lNONHSAG000217,chr1,4997996,5020838,+,NONHSAG000217,NONHSAG000217
lNONHSAG000230,chr1,6200492,6209560,-,NONHSAG000230,NONHSAG000230
lNONHSAG000231,chr1,6204839,6206286,-,NONHSAG000231,RP1-120G22.11
lNONHSAG000236,chr1,6251339,6254026,-,NONHSAG000236,NONHSAG000236
lNONHSAG000238,chr1,6395216,6401385,-,NONHSAG000238,NONHSAG000238
lNONHSAG000241,chr1,6443033,6447006,-,NONHSAG000241,RP1-202O8.2
lNONHSAG000256,chr1,6785512,6872010,+,NONHSAG000256,CAMTA1
lNONHSAG000261,chr1,7368941,7370270,+,NONHSAG000261,CAMTA1-IT1
lNONHSAG000262,chr1,7382486,7389935,-,NONHSAG000262,RP3-453P22.2
lNONHSAG000272,chr1,7771334,7781431,+,NONHSAG000272,VAMP3
lNONHSAG000273,chr1,7784332,7785906,+,NONHSAG000273,PER3
lNONHSAG000275,chr1,7800860,7827342,-,NONHSAG000275,RP3-467L1.4
lNONHSAG000279,chr1,8002728,8007469,-,NONHSAG000279,NONHSAG000279
lNONHSAG000284,chr1,8189823,8192770,+,NONHSAG000284,RP11-431K24.2
lNONHSAG000292,chr1,8423457,8435016,+,NONHSAG000292,RP5-1115A15.1
lNONHSAG000296,chr1,8656081,8817643,-,NONHSAG000296,NONHSAG000296
lNONHSAG000301,chr1,8875787,8878007,-,NONHSAG000301,ENO1-IT1
lNONHSAG000303,chr1,8893408,8894151,+,NONHSAG000303,HMGN2P17
lNONHSAG000306,chr1,9041841,9057545,-,NONHSAG000306,NONHSAG000306
lNONHSAG000310,chr1,9148396,9202619,-,NONHSAG000310,RP3-510D11.1
lNONHSAG000311,chr1,9181549,9198866,+,NONHSAG000311,RP3-510D11.2
lNONHSAG000315,chr1,9414562,9439115,-,NONHSAG000315,NONHSAG000315
lNONHSAG000320,chr1,9616714,9622313,+,NONHSAG000320,NONHSAG000320
lNONHSAG000327,chr1,9848282,9850802,+,NONHSAG000327,RP11-84A14.5
lNONHSAG000331,chr1,9942922,9949975,+,NONHSAG000331,RP11-84A14.4
lNONHSAG000344,chr1,10430766,10442503,+,NONHSAG000344,APITD1
lNONHSAG000345,chr1,10456545,10460036,+,NONHSAG000345,RP5-1113E3.3
lNONHSAG000346,chr1,10474945,10578427,+,NONHSAG000346,PEX14
