lncRNA_id,chr,start,end,strand,gene_id,gene_name
lNONMMUG000008,chr1,3466586,3513553,+,NONMMUG000008,Gm1992
lNONMMUG000019,chr1,4243422,4311334,-,NONMMUG000019,RPI002_013174
lNONMMUG000021,chr1,4583128,4608989,-,NONMMUG000021,RPI002_009648
lNONMMUG000022,chr1,4778062,4779212,-,NONMMUG000022,RPI002_009649
lNONMMUG000040,chr1,6209865,6215293,-,NONMMUG000040,4732440D04Rik
lNONMMUG000053,chr1,7089168,7090204,+,NONMMUG000053,Pcmtd1
lNONMMUG000057,chr1,7172541,7173624,+,NONMMUG000057,NONMMUG000057
lNONMMUG000058,chr1,7314636,7397878,-,NONMMUG000058,AC103380.1
lNONMMUG000060,chr1,7497967,7518149,+,NONMMUG000060,NONMMUG000060
lNONMMUG000072,chr1,9451453,10377289,-,NONMMUG000072,NONMMUG000072
lNONMMUG000075,chr1,9667414,9668325,-,NONMMUG000075,RPI002_010712
lNONMMUG000083,chr1,9908811,9944186,-,NONMMUG000083,Snhg6
lNONMMUG000086,chr1,9982386,9992366,+,NONMMUG000086,Gm15818
lNONMMUG000100,chr1,10362296,11716147,+,NONMMUG000100,NONMMUG000100
lNONMMUG000110,chr1,11384070,11386953,-,NONMMUG000110,RPI002_012929
lNONMMUG000115,chr1,12670323,12671652,-,NONMMUG000115,RPI002_013761
lNONMMUG000133,chr1,13846572,14063735,+,NONMMUG000133,RPI002_008271
lNONMMUG000142,chr1,14752936,14777254,+,NONMMUG000142,NONMMUG000142
lNONMMUG000162,chr1,16253592,16267946,+,NONMMUG000162,Gm7568
lNONMMUG000167,chr1,16568673,16619338,-,NONMMUG000167,Ube2w
lNONMMUG000171,chr1,16618559,16648960,+,NONMMUG000171,NONMMUG000171
lNONMMUG000186,chr1,17676026,17727647,-,NONMMUG000186,Gm16070
lNONMMUG000187,chr1,17938191,18059056,-,NONMMUG000187,NONMMUG000187
lNONMMUG000188,chr1,18010465,18011945,-,NONMMUG000188,RPI002_013495
lNONMMUG000191,chr1,19063298,19104840,-,NONMMUG000191,Gm15825
lNONMMUG000195,chr1,19606038,19636879,+,NONMMUG000195,RPI002_013101
lNONMMUG000201,chr1,20356414,20392302,+,NONMMUG000201,4930486I03Rik
